"airtableID","Id","Author","[person]","[news item]","Name [Role]"
"recPnJlpc3DeEBx9O","[]  ()","","","",""
"rectByzd6rGIXBNux","[]  () - author","True","","",""
"recThTEU0rjfVsNxm","[]  () - author","True","","",""
"rec1G1hDdccmJAwWN","[]  () - author","True","","",""
"reclXDwor6sOt9mhy","[] ""Achebe, Chinua 'Albert Chinualumogu' 
(1930-2013)"" () - author","True","['recOo2kpeQuQEciaC']","",""
"recFrarkE4HQf4za2","[] ""Achebe, Chinua 'Albert Chinualumogu' 
(1930-2013)"" (Mentioned Poet)","","['recOo2kpeQuQEciaC']","","Mentioned Poet"
"recHbxuTgQomNMioS","[] ""Achebe, Chinua 'Albert Chinualumogu' 
(1930-2013)"" (Poet) - author","True","['recOo2kpeQuQEciaC']","","Poet"
"recnNZgxbWS1vAnFr","[] ""Auden, Wystan Hugh 'W. H.' 
(1907-1973)"" (Mentioned Poet)","","['recA21MaYTugsYbrg']","","Mentioned Poet"
"rec99vOOpUFUaQTSn","[] ""Brooks, Richard 
(-)"" (Reporter)","","['recqAADXb7iwHeIZ3']","","Reporter"
"reckBH6O6sKFbrpG9","[] ""Brutus, Dennis Vincent 
(1924-2009)"" (Mentioned Poet)","","['recaLBDKPomp4cstB']","","Mentioned Poet"
"recrVT7v3CjRRLjzy","[] ""Butler, Guy 
(1918-2001)"" (Mentioned Poet) - author","True","['recjKvU9JG4GftnEK']","","Mentioned Poet"
"recifKtdF3Bmq6Lil","[] ""Butler, Guy 
(1918-2001)"" (Mentioned Poet) - author","True","['recjKvU9JG4GftnEK']","","Mentioned Poet"
"recidajeVe0biD9R9","[] ""Campbell, Roy 
(1901-1957)"" (Mentioned Poet)","","['recZCHkAMEtH7xn9G']","","Mentioned Poet"
"rec8ucahbfHLXpXwW","[] ""Campbell, Roy 
(1901-1957)"" (Mentioned Poet)","","['recZCHkAMEtH7xn9G']","","Mentioned Poet"
"rec0pVyGpwivViLJa","[] ""Campbell, Roy 
(1901-1957)"" (Mentioned Poet)","","['recZCHkAMEtH7xn9G']","","Mentioned Poet"
"recualuITwuzqIdpD","[] ""Campbell, Roy 
(1901-1957)"" (Mentioned Poet) - author","True","['recZCHkAMEtH7xn9G']","","Mentioned Poet"
"recllV6fdLpVQwiAa","[] ""Couzyn, Jeni 
(1942-)"" (Mentioned Poet)","","['reczJCspFdg3hHW9B']","","Mentioned Poet"
"recD6ytttpsZeh9CT","[] ""Couzyn, Jeni 
(1942-)"" (Mentioned Poet)","","['reczJCspFdg3hHW9B']","","Mentioned Poet"
"recVJJZvSu7namNLc","[] ""Ekwensi, Cyprian 
(1921-2007)"" (Writer)","","['rechc9BFreKE5N8OU']","","Writer"
"recXFDvfDO9VsKUL8","[] ""Gordimer, Nadine 
(1923-2014)"" (Writer)","","['recXnMjnpFniojKZ9']","","Writer"
"recTODPPH0fpPhOI0","[] ""Krige, Uys 
(1910-1987)"" (Mentioned Poet)","","['recuORZit1m0m3GHg']","","Mentioned Poet"
"rec5WskIvBpjQpNKq","[] ""Mtshali, Oswald Mbuyiseni 
(1940-)"" (Mentioned Poet)","","['reczK3i9PQzDoN6ks']","","Mentioned Poet"
"recx5ywqeXd2SUzuQ","[] ""Okara, Gabriel 
(1921-2019)"" (Mentioned Poet)","","['recUiPx4caoRhWvaM']","","Mentioned Poet"
"recLrruBMt6K9u7cR","[] ""Opperman, Diederik Johannes 'D. J.' 
(1914-1985)"" (Mentioned Poet)","","['receqlqqlevq2dKGL']","","Mentioned Poet"
"reclxqiN3CpcoStvv","[] ""Philander, P. J. 'Peter John' 
(1921-2006)"" (Poet)","","['recsxiHf60mUiowcG']","","Poet"
"rec0RAZlo3WxNC3ko","[] ""Pretorius, S. J. 'Sarel Jacob' 
(1917-1995)"" (Poet)","","['recLJKB5F9CohOTgc']","","Poet"
"recii08MRGQg6HkZZ","[] ""Rousseau, Ina 
(1926-2005)"" (Poet)","","['recZS4g43q5Io7CpK']","","Poet"
"rec37cjicWZr0kgAp","[] ""Symon, Julian 'Gustave' 
(1912-1994)"" (Critic)","","['recdw0H1VUWu955BU']","","Critic"
"rec1kPFAemFfNUXEY","[] ""Tshombe, Moïse Kapenda 
(-)"" (Politician)","","['recsHqUBlS3tVUSo6']","","Politician"
"recqGt2PbyUQdMHVg","[] ""van Heerden, Ernst 
(1916-1997)"" (Poet)","","['recu43DbrUayW9AhJ']","","Poet"
"recbvS6e1rfZzYzA0","[] ""Watermeyer, Gottfried Andreas 'G. A.' 
(1917-1972)"" (Poet)","","['rech3QgHUlRA7jtQu']","","Poet"
"recYjCIxKph4HMRpr","[] ""Zimunya, Musaemura Bonas 
(1949-)"" (Poet)","","['rec6AGwjH7PImbAAF']","","Poet"
"rec8v1sZcEprQqtDI","[apdp.news.000003] ""Lewis, C. S. 
(1898-1963)"" (Mentioned Poet)","","['reci4nsYsAMmr9fCm']","['recAXaI2Uc9Ag9TJb']","Mentioned Poet"
"recaw0N9Ws6fjTTfB","[apdp.news.000003apdp.news.000398apdp.news.000399apdp.news.000403apdp.news.000426apdp.news.000427apdp.news.000372] ""Campbell, Roy 
(1901-1957)"" (Poet)","","['recZCHkAMEtH7xn9G']","['recAXaI2Uc9Ag9TJb', 'rec9Lw8gUwCCpank5', 'recUcMaWkBLFauZSf', 'rec8MMCha1iVdrmXC', 'recbOMh1GMuR0RoZP', 'rec3kO3oUUc9macvW', 'recYg0q7fhUUahKaq']","Poet"
"recf6Y1EqAaefIeLp","[apdp.news.000003apdp.news.000753] ""Treglown, Jeremy 
(1946-)"" (Critic)","","['rec71YFiWR3acvMl8']","['recAXaI2Uc9Ag9TJb', 'recGbtVshbXqsWOdC']","Critic"
"recpMQYL8apWMio7V","[apdp.news.000004] ""Currey, Ralph Nixon 'R. N.' 
(1907-2001)"" (Poet)","","['recN2CQ0lURxrndsj']","['recr35NLkMMJ2UBJp']","Poet"
"recGdTvmfC31333gQ","[apdp.news.000004] ""Eliot, Thomas Stearns 'T. S.' 
(1888-1965)"" (Mentioned Poet)","","['recx4toxfq1chRr5W']","['recr35NLkMMJ2UBJp']","Mentioned Poet"
"recirAp9XTqnPDjp5","[apdp.news.000004] ""Kirkwood, Mike 
(-)"" (Critic) - author","True","['recaUp69EsKJySzr9']","['recr35NLkMMJ2UBJp']","Critic"
"recf0hV7o8GfmAS8y","[apdp.news.000005] ""Clark, John Pepper 'J. P.' 
(1935-)"" (Mentioned Poet)","","['recmyildMjXhoC72X']","['recBey94YcpNHirc9']","Mentioned Poet"
"recOKJtJ5Q0VxOvYr","[apdp.news.000005] ""Echeruo, Michael J. C. 
(1937-)"" (Poet)","","['recZoWYIG4TUSm4dg']","['recBey94YcpNHirc9']","Poet"
"recyauqRiQdg7rS5c","[apdp.news.000005] ""Moore, Gerald 
(1924-)"" (Critic) - author","True","['rec9fhaSuS1VCt72x']","['recBey94YcpNHirc9']","Critic"
"recBMFp89hzFGtLd4","[apdp.news.000005] ""Okigbo, Christopher 
(1932-1967)"" (Mentioned Poet)","","['recBvLFtelOVzL0YK']","['recBey94YcpNHirc9']","Mentioned Poet"
"rece95MhUXQDOTuSH","[apdp.news.000005] ""Soyinka , Wole 'Akinwande Oluwole Babatunde' 
(1934-)"" (Mentioned Poet)","","['recrkX4daZNLsq0cZ']","['recBey94YcpNHirc9']","Mentioned Poet"
"rec6lTXOj7fjQJeCP","[apdp.news.000006] ""Kipling, Rudyard 
(1865-1936)"" (Poet)","","['reczzEEtGIZ7fG1l5']","['recNjcqZR6NkLlKuy']","Poet"
"recKa2rY3X9Ivcj9K","[apdp.news.000006] ""Pringle, Thomas 
(1780-1834)"" (Mentioned Poet)","","['recjcqo5Xbuadsw29']","['recNjcqZR6NkLlKuy']","Mentioned Poet"
"recK3bmqpXW3F0z87","[apdp.news.000007] ""Blacklings, Mairi J. 
(-)"" (Critic) - author","True","['rec2ifV3fqeW4fUNH']","['recVxpSLc9wcUETRK']","Critic"
"recyfWFkCyXyX1oKH","[apdp.news.000007] ""Soyinka , Wole 'Akinwande Oluwole Babatunde' 
(1934-)"" (Poet)","","['recrkX4daZNLsq0cZ']","['recVxpSLc9wcUETRK']","Poet"
"reciZ9FOYexhqW60D","[apdp.news.000008] ""El Hadj Belarbi, Sheik Benguedda 
(-1932)"" (Poet)","","['recLnMJdgNFWWgjLQ']","['recNvSSrC0BvfGxUb']","Poet"
"receENaLWwWty72bj","[apdp.news.000009] ""Moore, Gerald 
(1924-)"" (Critic) - author","True","['rec9fhaSuS1VCt72x']","['recHZavLKdu9M4dI6']","Critic"
"recGjSWY3KU0U2U5Y","[apdp.news.000009] ""P'Bitek, Okot 
(1931-1982)"" (Poet)","","['recHO9AeFrAOe1QdE']","['recHZavLKdu9M4dI6']","Poet"
"recAOg6eWOHPKdmY6","[apdp.news.000010] ""Joyce, James 
(1882-1941)"" (Mentioned Poet)","","['recGGU1K6yK1d5j5W']","['recEQSAB9oipLbsYL']","Mentioned Poet"
"recLt9THqmcxrNwgY","[apdp.news.000010] ""Kafka, Franz 
(1883-1924)"" (Mentioned Poet)","","['recTpqDAgxbdpbCe0']","['recEQSAB9oipLbsYL']","Mentioned Poet"
"rec2lOQ5Urt3lA6nN","[apdp.news.000010] ""Lawrence, David Herbert 'D. H.' 
(1885-1930)"" (Mentioned Poet)","","['receUlQSMmclJXCZw']","['recEQSAB9oipLbsYL']","Mentioned Poet"
"rec84kYIGiEpvYrb9","[apdp.news.000010] ""Pound, Ezra 
(1885-1972)"" (Mentioned Poet)","","['rectmJxGXAJNhfSVk']","['recEQSAB9oipLbsYL']","Mentioned Poet"
"recpY5V6vczKDMNxZ","[apdp.news.000010] ""Rabearivelo, Jean-Joseph 
(1901-1937)"" (Poet)","","['recS6VRZbkRMZ4Apa']","['recEQSAB9oipLbsYL']","Poet"
"recGJCa7JbKNXuMEh","[apdp.news.000010] ""Rabemananjara, Jacques 
(1913-2005)"" (Poet)","","['rec5FVXJsCsQo4ZI6']","['recEQSAB9oipLbsYL']","Poet"
"recMZd0lS1HSKcE1F","[apdp.news.000010] ""Ranaivo, Flavien 
(1914-1999)"" (Poet)","","['recqO0dQd4f6mHqqS']","['recEQSAB9oipLbsYL']","Poet"
"rec9ydZaVv326n20n","[apdp.news.000010] ""Sartre, Jean-Paul 
(1905-1980)"" (Mentioned Poet)","","['recSoGFMX0qkX0QNh']","['recEQSAB9oipLbsYL']","Mentioned Poet"
"recgdz4Rs5WaMjrjK","[apdp.news.000010] ""Walder, Dennis 
(1943-)"" (Critic) - author","True","['recc52Vz7dNYOt2CB']","['recEQSAB9oipLbsYL']","Critic"
"rechw8mAVQQWHpCKj","[apdp.news.000011] ""Butler, Guy 
(1918-2001)"" (Poet)","","['recjKvU9JG4GftnEK']","['recnHXwhpwqgx5H9n']","Poet"
"recBbFd0hCMjRBxnO","[apdp.news.000011] ""Campbell, Roy 
(1901-1957)"" (Poet)","","['recZCHkAMEtH7xn9G']","['recnHXwhpwqgx5H9n']","Poet"
"receEJPE31epbffhS","[apdp.news.000011] ""Cope, Robert Knox 'Jack' 
(1913-1991)"" (Poet)","","['rec4lc52d1rr49UHG']","['recnHXwhpwqgx5H9n']","Poet"
"recofuC1Qws9UL5F7","[apdp.news.000011] ""Currey, Ralph Nixon 'R. N.' 
(1907-2001)"" (Poet)","","['recN2CQ0lURxrndsj']","['recnHXwhpwqgx5H9n']","Poet"
"recpdtD1InBlUFReZ","[apdp.news.000011] ""Delius, Anthony 'Ronald St. Martin' 
(1916-1989)"" (Poet)","","['recbF6fKg6E5WaoqP']","['recnHXwhpwqgx5H9n']","Poet"
"rec7AuKI1tAKmblcL","[apdp.news.000011] ""Madge, Charles Henry 
(1912-1996)"" (Poet)","","['recNDLiL9FcG6VMnQ']","['recnHXwhpwqgx5H9n']","Poet"
"recYWitfWJTftnVMn","[apdp.news.000011] ""Prince, Frank Templeton 'F. T.' 
(1912-2003)"" (Poet)","","['reczY4HgBRDaqL1fV']","['recnHXwhpwqgx5H9n']","Poet"
"rec0nhxJAzpMdwGIQ","[apdp.news.000011] ""Slater, Francis Carey 'F. C.' 
(1876-1958)"" (Poet)","","['recA1aXEUqGwSRQhI']","['recnHXwhpwqgx5H9n']","Poet"
"reckYfHpB4iY4reS3","[apdp.news.000011] ""Wright, David 
(1920-1994)"" (Poet)","","['recX3e6HGV46vJgzl']","['recnHXwhpwqgx5H9n']","Poet"
"recgTqwpD0XNBFxYv","[apdp.news.000011apdp.news.000427] ""Plomer, William 
(1903-1973)"" (Poet)","","['rechXmQTzrc8eiWTu']","['recnHXwhpwqgx5H9n', 'rec3kO3oUUc9macvW']","Poet"
"recAGblBY8fL34xg9","[apdp.news.000012] ""Frost, Robert Lee 
(1874-1963)"" (Mentioned Poet)","","['rec03uH9iHd1VaHSg']","['recaJUQoNPbLJOwz9']","Mentioned Poet"
"recM7RP7PQYNkA7HL","[apdp.news.000013] ""Awoonor-Williams, George Kofi Nyidevu 'Kofi Awoonor' 
(1935-2013)"" (Poet)","","['recw6xteDA4loPFr8']","['recZmMtfaTx1eXHGZ']","Poet"
"recODEBCqhgznJahQ","[apdp.news.000013] ""Carlin, M. M. 
(-)"" (Critic) - author","True","['recsJ1MvPkAeNna6Y']","['recZmMtfaTx1eXHGZ']","Critic"
"recJJFIgfOJJN3x60","[apdp.news.000013] ""Clark, John Pepper 'J. P.' 
(1935-)"" (Poet)","","['recmyildMjXhoC72X']","['recZmMtfaTx1eXHGZ']","Poet"
"recKL7nxL0bFxO98a","[apdp.news.000013] ""Eliot, Thomas Stearns 'T. S.' 
(1888-1965)"" (Mentioned Poet)","","['recx4toxfq1chRr5W']","['recZmMtfaTx1eXHGZ']","Mentioned Poet"
"recAfaZQ75fdic3mN","[apdp.news.000013] ""Hopkins, Gerard Manley 
(1844-1889)"" (Mentioned Poet)","","['rec9GWnjDwQIeeeaU']","['recZmMtfaTx1eXHGZ']","Mentioned Poet"
"recLPRg7XuS3ksoLt","[apdp.news.000013] ""Kunene, Mazisi 'Raymond' 
(1930-2006)"" (Poet)","","['rec7C07UyBGMs8tw8']","['recZmMtfaTx1eXHGZ']","Poet"
"recLXVyp5DW8yyBTc","[apdp.news.000013] ""Liyong, Taban Lo 
(1939-)"" (Poet)","","['recGE7Fcz5oCLV3Qn']","['recZmMtfaTx1eXHGZ']","Poet"
"recnjJItKdoFwf2kH","[apdp.news.000013] ""Okara, Gabriel 
(1921-2019)"" (Poet)","","['recUiPx4caoRhWvaM']","['recZmMtfaTx1eXHGZ']","Poet"
"recACUTyhszxkovq5","[apdp.news.000013] ""Okigbo, Christopher 
(1932-1967)"" (Poet)","","['recBvLFtelOVzL0YK']","['recZmMtfaTx1eXHGZ']","Poet"
"recplulzVyoqwgD3I","[apdp.news.000013] ""P'Bitek, Okot 
(1931-1982)"" (Poet)","","['recHO9AeFrAOe1QdE']","['recZmMtfaTx1eXHGZ']","Poet"
"recdhhsQxHpkAy9OZ","[apdp.news.000013] ""Peters, Lenrie 
(1932-2009)"" (Poet)","","['reccvo8NMj2CiOdaP']","['recZmMtfaTx1eXHGZ']","Poet"
"recJx12wbCTyDuxQs","[apdp.news.000013] ""Pound, Ezra 
(1885-1972)"" (Mentioned Poet)","","['rectmJxGXAJNhfSVk']","['recZmMtfaTx1eXHGZ']","Mentioned Poet"
"reczOtbaYZpWPy4HZ","[apdp.news.000013] ""Soyinka , Wole 'Akinwande Oluwole Babatunde' 
(1934-)"" (Mentioned Poet)","","['recrkX4daZNLsq0cZ']","['recZmMtfaTx1eXHGZ']","Mentioned Poet"
"recJ79KIxNR2mjzjA","[apdp.news.000013] ""Yeats, William Butler 'W. B.' 
(1865-1939)"" (Mentioned Poet)","","['recD9w9wjdB9wbhOx']","['recZmMtfaTx1eXHGZ']","Mentioned Poet"
"recAstK4WzWtPTF6v","[apdp.news.000013apdp.news.000429] ""Thomas, Dylan 
(1914-1953)"" (Mentioned Poet)","","['recWKLA8rtq7Naxog']","['recZmMtfaTx1eXHGZ', 'reccrijutfJXD23Ha']","Mentioned Poet"
"reclUDaDUP8Qk5WKK","[apdp.news.000013apdp.news.000452apdp.news.000453apdp.news.000460] ""Brutus, Dennis Vincent 
(1924-2009)"" (Poet)","","['recaLBDKPomp4cstB']","['recZmMtfaTx1eXHGZ', 'recBOUHJjEMv5x6HT', 'recVI6Yq9D4moYqUo', 'recAYSj7D8HsbaIZ9']","Poet"
"recOyrREr9jFEKbVv","[apdp.news.000014] ""Butler, Guy 
(1918-2001)"" (Poet)","","['recjKvU9JG4GftnEK']","['rec57K1OQ09vtCXUl']","Poet"
"rechfMkG5PVi6tOBS","[apdp.news.000014] ""Cope, Robert Knox 'Jack' 
(1913-1991)"" (Poet)","","['rec4lc52d1rr49UHG']","['rec57K1OQ09vtCXUl']","Poet"
"recc9NiQZeD4NqGHC","[apdp.news.000014] ""Delius, Anthony 'Ronald St. Martin' 
(1916-1989)"" (Poet)","","['recbF6fKg6E5WaoqP']","['rec57K1OQ09vtCXUl']","Poet"
"recJDlZDbI5hNlPlt","[apdp.news.000014] ""Livingstone, Douglas 
(1932-1996)"" (Poet)","","['recrAaXXhIPMbulnW']","['rec57K1OQ09vtCXUl']","Poet"
"recdP8ycDw3vySThY","[apdp.news.000014] ""Mann, Chris 'Christopher Michael Zithulele' 
(1948-2021)"" (Poet)","","['recU0GqypnmAL84T5']","['rec57K1OQ09vtCXUl']","Poet"
"reciM4gvFVc3mnFXg","[apdp.news.000014] ""Soyinka , Wole 'Akinwande Oluwole Babatunde' 
(1934-)"" (Poet)","","['recrkX4daZNLsq0cZ']","['rec57K1OQ09vtCXUl']","Poet"
"rec27k6V4tFUwzMkC","[apdp.news.000016] ""Adams, Perseus 'Peter Robert Charles' 
(1933-)"" (Poet)","","['rec9NVjOrXGIXxw9F']","['recjKYnmAaGlURITq']","Poet"
"rec4WbogWQS6Z5jLJ","[apdp.news.000016] ""Aylen, Leo 
(1935-)"" (Poet)","","['rec9R8HNlWmIM3Kc1']","['recjKYnmAaGlURITq']","Poet"
"rec5S7f52RtFNbcEZ","[apdp.news.000016] ""Butler, Guy 
(1918-2001)"" (Poet)","","['recjKvU9JG4GftnEK']","['recjKYnmAaGlURITq']","Poet"
"recUn17lgCxmzJJsa","[apdp.news.000016] ""Campbell, Roy 
(1901-1957)"" (Poet)","","['recZCHkAMEtH7xn9G']","['recjKYnmAaGlURITq']","Poet"
"recGUovMOqQQwIS0H","[apdp.news.000016] ""Clouts, Sydney 
(1926-1982)"" (Poet)","","['rec4PSLJqOJn0gY2R']","['recjKYnmAaGlURITq']","Poet"
"recZpQZeEc8BKrKrl","[apdp.news.000016] ""Cope, Robert Knox 'Jack' 
(1913-1991)"" (Poet)","","['rec4lc52d1rr49UHG']","['recjKYnmAaGlURITq']","Poet"
"recMzbsDZ4qzCLhqb","[apdp.news.000016] ""Currey, Ralph Nixon 'R. N.' 
(1907-2001)"" (Poet)","","['recN2CQ0lURxrndsj']","['recjKYnmAaGlURITq']","Poet"
"recfwQHiSxXL6n0cT","[apdp.news.000016] ""Driver, Charles Jonathan 'Jonty' 
(1939-)"" (Poet)","","['recOcLoIZSFwMOqfm']","['recjKYnmAaGlURITq']","Poet"
"","[apdp.news.000016] ""Dugmore, Henry Hare 'H. H.' 
(1810-1896)"" (Mentioned Poet)","","['rec6lnGtv6OSVtoEN']","['recjKYnmAaGlURITq']","Mentioned Poet"
"","[apdp.news.000016] ""Eglington, Charles 
(1918-1972)"" (Poet)","","['recVITrnlYju5VVOR']","['recjKYnmAaGlURITq']","Poet"
"","[apdp.news.000016] ""Gwala, Pascal 
(1946-2014)"" (Poet)","","['recO7fQ9N6fKpWsLF']","['recjKYnmAaGlURITq']","Poet"
"","[apdp.news.000016] ""Hamilton, William Robert 'W. R.' 
(1896-1917)"" (Poet)","","['recEadpRGDKvzNbBc']","['recjKYnmAaGlURITq']","Poet"
"","[apdp.news.000016] ""Kunene, Mazisi 'Raymond' 
(1930-2006)"" (Poet)","","['rec7C07UyBGMs8tw8']","['recjKYnmAaGlURITq']","Poet"
"","[apdp.news.000016] ""Lewin, Hugh 
(1939-2019)"" (Poet)","","['recXocQrPdKiutDsX']","['recjKYnmAaGlURITq']","Poet"
"","[apdp.news.000016] ""Livingstone, Douglas 
(1932-1996)"" (Poet)","","['recrAaXXhIPMbulnW']","['recjKYnmAaGlURITq']","Poet"
"","[apdp.news.000016] ""Mann, Chris 'Christopher Michael Zithulele' 
(1948-2021)"" (Poet)","","['recU0GqypnmAL84T5']","['recjKYnmAaGlURITq']","Poet"
"","[apdp.news.000016] ""McKuen, Rod 
(1933-2015)"" (Mentioned Poet)","","['recRbiux7XIQ815vz']","['recjKYnmAaGlURITq']","Mentioned Poet"
"","[apdp.news.000016] ""Moodie, Duncan Campbell Francis 'D. C. F.' 
(1838-1891)"" (Mentioned Poet)","","['recIYP7wIGHjr9az0']","['recjKYnmAaGlURITq']","Mentioned Poet"
"","[apdp.news.000016] ""Mtshali, Oswald Mbuyiseni 
(1940-)"" (Poet)","","['reczK3i9PQzDoN6ks']","['recjKYnmAaGlURITq']","Poet"
"","[apdp.news.000016] ""Nkosi, Lewis 
(1936-2010)"" (Critic) - author","True","['recLITWzgFk9GhBof']","['recjKYnmAaGlURITq']","Critic"
"","[apdp.news.000016] ""Nortje, Arthur 
(1942-1970)"" (Poet)","","['recN80tQNHxdhyGvr']","['recjKYnmAaGlURITq']","Poet"
"","[apdp.news.000016] ""Plomer, William 
(1903-1973)"" (Poet)","","['rechXmQTzrc8eiWTu']","['recjKYnmAaGlURITq']","Poet"
"","[apdp.news.000016] ""Prince, Frank Templeton 'F. T.' 
(1912-2003)"" (Poet)","","['reczY4HgBRDaqL1fV']","['recjKYnmAaGlURITq']","Poet"
"","[apdp.news.000016] ""Pringle, Thomas 
(1780-1834)"" (Mentioned Poet)","","['recjcqo5Xbuadsw29']","['recjKYnmAaGlURITq']","Mentioned Poet"
"","[apdp.news.000016] ""Selwyn, W. 
(-)"" (Mentioned Poet)","","['reckZxppFbnFjr37c']","['recjKYnmAaGlURITq']","Mentioned Poet"
"","[apdp.news.000016] ""Sepamla, Sydney 'Sydney Sipho Sepamla' 
(1932-2007)"" (Poet)","","['reccGeA0Fw8BFLrrn']","['recjKYnmAaGlURITq']","Poet"
"","[apdp.news.000016] ""Serote, Mongane Wally 
(1944-)"" (Poet)","","['recADnJms1RS8ueJD']","['recjKYnmAaGlURITq']","Poet"
"","[apdp.news.000016] ""Slater, Francis Carey 'F. C.' 
(1876-1958)"" (Poet)","","['recA1aXEUqGwSRQhI']","['recjKYnmAaGlURITq']","Poet"
"","[apdp.news.000017] ""Hamilton, William Robert 'W. R.' 
(1896-1917)"" (Poet)","","['recEadpRGDKvzNbBc']","['rec7hEAy7UcOc9vsS']","Poet"
"","[apdp.news.000018] ""Swift, Patrick 
(1927-1983)"" (Artist)","","['recEQd4SsTTr25hJ1']","['rec3W1R7AzhO37i4W']","Artist"
"","[apdp.news.000018] ""Wright, David 
(1920-1994)"" (Poet)","","['recX3e6HGV46vJgzl']","['rec3W1R7AzhO37i4W']","Poet"
"","[apdp.news.000018apdp.news.000378apdp.news.000407apdp.news.000412apdp.news.000421apdp.news.000422apdp.news.000442apdp.news.000446apdp.news.000447] ""Campbell, Roy 
(1901-1957)"" (Mentioned Poet)","","['recZCHkAMEtH7xn9G']","['rec3W1R7AzhO37i4W', 'recVAlun2B6XHukAX', 'recDxlwfsiQeOR1K2', 'recr7ZCnkKEuoATVG', 'recx23187A5uaWUpm', 'recOiBmKFJt80NyWJ', 'recHAJl7c7x8pEnru', 'recarI3ENJAVttJ44', 'recnnVn70YK6q0lEg']","Mentioned Poet"
"","[apdp.news.000018apdp.news.000411apdp.news.000412apdp.news.000414apdp.news.000419apdp.news.000421apdp.news.000423apdp.news.000424apdp.news.000425apdp.news.000428] ""Connolly, Cyril Vernon 'Cyril Connolly' 
(1903-1974)"" (Critic) - author","True","['recJprzU0vEqwgMv1']","['rec3W1R7AzhO37i4W', 'reclfN3SysRq83Ekv', 'recr7ZCnkKEuoATVG', 'recxquzUPDP6uLoYR', 'rec1fwuJ7Ae1EUckc', 'recx23187A5uaWUpm', 'recQnqoBQVnXqeHca', 'rec1Kf8srqjEH1oAD', 'recihKjMoC5xSl52O', 'rec5m9rhBwFhP1GpI']","Critic"
"","[apdp.news.000019] ""Anyidoho, Kofi 'born George Kofi Nyidevu Awoonor-Williams' 
(1947-)"" (Editor)","","['recW2LITFLTa3ZxhL']","['recVCcr2e6uwbU29h']","Editor"
"","[apdp.news.000019] ""Chipasula, Frank Mkalawile 
(1949-)"" (Mentioned Poet)","","['rechCmMdNpei8Hc3B']","['recVCcr2e6uwbU29h']","Mentioned Poet"
"","[apdp.news.000019] ""Foden, Giles 
(1967-)"" (Critic) - author","True","['rec5hACz7Wb1vbtDe']","['recVCcr2e6uwbU29h']","Critic"
"","[apdp.news.000019] ""Heaney, Seamus 
(1939-2013)"" (Mentioned Poet)","","['recUw8mTUTbLmgfsf']","['recVCcr2e6uwbU29h']","Mentioned Poet"
"","[apdp.news.000019] ""Laing, Kojo 'Bernard' 
(1946-2017)"" (Poet)","","['reclkjf5RAoQfCuhd']","['recVCcr2e6uwbU29h']","Poet"
"","[apdp.news.000019] ""Mpina, Edison 
(1948-)"" (Mentioned Poet)","","['recR2GuqJRCNRrMzz']","['recVCcr2e6uwbU29h']","Mentioned Poet"
"","[apdp.news.000019] ""Porter, Peter 
(1929-2010)"" (Editor)","","['rec7wAHVxo0a23WaU']","['recVCcr2e6uwbU29h']","Editor"
"","[apdp.news.000019] ""Senaye, Erasmus Elikplim Forster 
(-)"" (Mentioned Poet)","","['recfipWTz8xuuCs1U']","['recVCcr2e6uwbU29h']","Mentioned Poet"
"","[apdp.news.000019apdp.news.000695] ""Zimunya, Musaemura Bonas 
(1949-)"" (Mentioned Poet)","","['rec6AGwjH7PImbAAF']","['recVCcr2e6uwbU29h', 'recqwGN2Dxn87nIs1']","Mentioned Poet"
"","[apdp.news.000020] ""Césaire, Aimé 
(1913-2008)"" (Writer)","","['rec2z09hX5pCtvqpR']","['rec9g8o8XDQLBGmtC']","Writer"
"","[apdp.news.000020] ""Diakhate, Lamine 
(1928-1987)"" (Poet)","","['recce49CVohdYLw2s']","['rec9g8o8XDQLBGmtC']","Poet"
"","[apdp.news.000020] ""Moore, Gerald 
(1924-)"" (Critic) - author","True","['rec9fhaSuS1VCt72x']","['rec9g8o8XDQLBGmtC']","Critic"
"","[apdp.news.000021] ""Breytenbach, Breyten 
(1939-)"" (Poet)","","['recIGSwI3zYEGJaaM']","['recchpyRVXsLJEFm7']","Poet"
"","[apdp.news.000021] ""Campbell, Roy 
(1901-1957)"" (Poet)","","['recZCHkAMEtH7xn9G']","['recchpyRVXsLJEFm7']","Poet"
"","[apdp.news.000021] ""Cope, Robert Knox 'Jack' 
(1913-1991)"" (Poet)","","['rec4lc52d1rr49UHG']","['recchpyRVXsLJEFm7']","Poet"
"","[apdp.news.000021] ""Horn, Peter Rudolf Gisela 
(1934-2019)"" (Poet)","","['recBJcbdVcUytCiWZ']","['recchpyRVXsLJEFm7']","Poet"
"","[apdp.news.000021] ""Livingstone, Douglas 
(1932-1996)"" (Poet)","","['recrAaXXhIPMbulnW']","['recchpyRVXsLJEFm7']","Poet"
"","[apdp.news.000021] ""Mtshali, Oswald Mbuyiseni 
(1940-)"" (Poet)","","['reczK3i9PQzDoN6ks']","['recchpyRVXsLJEFm7']","Poet"
"","[apdp.news.000021] ""Plaatje, Solomon Tshekisho 
(1876-1932)"" (Poet)","","['recNAQVBBlO8rp7LF']","['recchpyRVXsLJEFm7']","Poet"
