"airtableID","Primary field","Name","[location]","[works]","Count (works)"
"recmkGubr4iv7JebB","The Menard Press,  (England |  |  | London |  |  |)","The Menard Press","['recqdvLDX4FnsD7mI']","['recejzfAV7CxsJLAN']","1"
"recfCLRKIF5Bo85xA","Conzett & Huber,  (Switzerland |  |  | Zurich |  |  |)","Conzett & Huber","['recuYjYnPIoEHtj7u']","['recqM8386ynBQxPhY']","1"
"recsArIMSmFsNPaAm","Classic Books,  ()","Classic Books","","['recO63ABRUba75Kau']","1"
"rec8J2uriOHGCen3n","David A. Godine,  (United States | Massachusetts |  | Boston |  |  |)","David A. Godine","['recTeYfPEsbAZp1LE']","['recyFEOXJkIdWbJ5s']","1"
"recZNVJ90KD05eCck","Hachette Books,  (United States | New York |  | New York |  |  |)","Hachette Books","['recqWqrNjE6c3GTCl']","['recXdnPbY4LGpWCUM', 'recdecrqMu1jmbrqD']","2"
"recIgKoaxLcLEXP8P","Éditions Regard,  (France |  |  | Paris |  |  |)","Éditions Regard","['recJVFJjSos0pByqm']","['recMcxena7MxIlHqR']","1"
"recAHx7evwKtvdqaF","University of KwaZulu-Natal Press,  (South Africa |  |  | KwaZulu-Natal |  |  |)","University of KwaZulu-Natal Press","['recTF4mq7cznKe7gv']","['rec4T5vocWzvoiSV5', 'recUEYTM7JcW8Jhbf', 'recbp52qYEQXKRMkw', 'recuIrBCeKI1vS49L']","4"
"recqoDU6N1oArvTYZ","Nok Pub Intl,  (Nigeria |  |  | Lagos |  |  |)","Nok Pub Intl","['recQ44IdKFxMds43h']","['recKSgGAePAtX6k7l']","1"
"recX4dEUA0GkPgMZJ","Smith, Elder, and Company,  (England |  |  | London |  |  |)","Smith, Elder, and Company","['recqdvLDX4FnsD7mI']","['recAdodoya9bjS1IC', 'recpSZIpHXbvdmBFA']","2"
"rec70ouAFJu8vQjN7","Breal,  ()","Breal","","['recRmJqpC6LCVn7ph']","1"
"recbNp9MetC9Zh7Vb","B. H. Blackwell,  (England |  | Oxfordshire | Oxford |  |  |)","B. H. Blackwell","['recyDy7HYxibMf3f0']","['recYD7lTaxP4c9f7k', 'rec2PSh0ZmqaFH1Zn', 'rec4AC6JpfVPLd3e6', 'rec2caYtRV397fL1T', 'recJ4tyD3XwuRnVfS', 'rec0aS1uEjwBShkw7']","6"
"recYsLpGsIKdM2gAS","Shuter & Shooter Publishers,  (South Africa |  |  | Pietermaritzburg |  |  |)","Shuter & Shooter Publishers","['recc8MNLQ0wpQr2EY']","['recEic6OPU8qJKZjS']","1"
"recX6uL2eZZFBFzwG","Bateleur Press,  (South Africa |  |  | Cape Town |  |  |)","Bateleur Press","['recaFh0XjN5t82tvf']","['receMnHD8ZMONHBwO']","1"
"","Boriswood,  (England |  |  | London |  |  |)","Boriswood","['recqdvLDX4FnsD7mI']","['recT0WTzHQgevB1iu', 'recRJOWj8Zqzj1XMf']","2"
"","Workshop Press,  ()","Workshop Press","","['rechKttvJV4wwgg2q']","1"
"","Skotaville,  (South Africa |  |  | Johannesburg |  |  |)","Skotaville","['receqvJHUxo7fwpt1']","['recvaJlQv8pPbVCQM']","1"
"","Firfield Pamphlet Press,  (South Africa |  |  | Johannesburg |  |  |)","Firfield Pamphlet Press","['receqvJHUxo7fwpt1']","['recRGa9fN2jdUBNDr']","1"
"","Juta,  ()","Juta","","['recUQFjTcZJgNgGkX']","1"
"","C. A. Roy for Collins,  (England |  |  | London |  |  |)","C. A. Roy for Collins","['recqdvLDX4FnsD7mI']","['rec7ObmKk7D24MSzZ']","1"
"","Elsevier Science Ltd.,  (Netherlands |  |  | Amsterdam |  |  |)","Elsevier Science Ltd.","['recowlYYszmbm5vw8']","['recVAWpKFtGoa5GtF']","1"
"","Eugen Diederichs Verlag,  (Germany |  |  | Dusseldorf |  |  |)","Eugen Diederichs Verlag","['rec3pRNy7iVSWq1wI']","['recLCDqwCCY28vjCd']","1"
"","The Clarendon Press,  (England |  | Oxfordshire | Oxford |  |  |)","The Clarendon Press","['recyDy7HYxibMf3f0']","['recEw6hcLSLAq7pV4', 'recVaJRh7ZrWz5Jkl', 'recxOhFQFwIdBeeRK']","3"
"","Unie-Volkspers,  (South Africa |  |  | Cape Town |  |  |)","Unie-Volkspers","['recaFh0XjN5t82tvf']","['receVws5RaidEKHDA']","1"
"","Indiana University Press,  (United States | Indiana |  | Bloomington |  |  |)","Indiana University Press","['recBsIUfNpzHXbHZc']","['recsfDvqjSyncQwhD', 'recyE8jcMQYnfTOnB', 'rec4Epb3JAaRUBYYr', 'recCd9IfICa2AAmwa']","4"
"","The African Book Company,  (South Africa |  |  | Grahamstown |  |  |)","The African Book Company","['recrMkqtIG7abmhBX']","['recrSFe8mGBYJv3gB', 'recmPSztWozXdl6eM']","2"
"","Cape Times,  (South Africa |  |  | Cape Town |  |  |)","Cape Times","['recaFh0XjN5t82tvf']","['recgbSksceUD3zyGt']","1"
"","Perdika Press,  (England |  |  | London |  |  |)","Perdika Press","['recqdvLDX4FnsD7mI']","['recY7Mro37QBHcflw']","1"
"","LAPA Publishers,  (South Africa |  |  | Pretoria |  |  |)","LAPA Publishers","['recA9tRal293H7c2O']","['recLt12EBfrYRuocR']","1"
"","Ravan Press,  ()","Ravan Press","","['rec7Mm8VVU6pAa7qs', 'recpfEQvfshKK952l', 'recbGwDpUH5fNBu8w', 'recHgDrN0cNXKa71o', 'recgT7okrAoqmSBO9']","5"
"","Constable,  (England |  |  | London |  |  |)","Constable","['recqdvLDX4FnsD7mI']","['recCjUXwFdWeFbOgp']","1"
"","Bloodaxe Books Ltd,  ()","Bloodaxe Books Ltd","","['recVKrvNAaQOgADdh', 'recigwT02eerJork1', 'recLGlxGRg1u6L7mP', 'recFin8NK2YlAdnVR', 'recWwFASdpiPWYKjD']","5"
"","Pero Press,  ()","Pero Press","","['recamRRRL2pimbI4B']","1"
"","Via Afrika,  (South Africa |  |  | Cape Town |  |  |)","Via Afrika","['recaFh0XjN5t82tvf']","['recw6cZC9aMhFdJji']","1"
"","Kessinger Publishing, LLC,  ()","Kessinger Publishing, LLC","","['rec3br5iGo42Fj9lD', 'recbs7jfPF7R0K5f5']","2"
"","HAUM,  (South Africa |  |  | Cape Town |  |  |)","HAUM","['recaFh0XjN5t82tvf']","['rec6gAGWf2RfZjOUK']","1"
"","New Africa Books,  (South Africa |  |  | Cape Town |  |  |)","New Africa Books","['recaFh0XjN5t82tvf']","['recHyFejxGIm95RVT', 'rechkiuFFdksduvlF', 'recvsRlan6QnLxw5C']","3"
"","Kwela Boeke,  (South Africa |  |  | Cape Town |  |  |)","Kwela Boeke","['recaFh0XjN5t82tvf']","['recfFj9M1w65TtNjU', 'recBnzpdozlQFVym6', 'reccOxiPoEqr4lbqb']","3"
"","EDICEF REVUES,  ()","EDICEF REVUES","","['recGyQcNmX1OQuwo3']","1"
"","PAB,  ()","PAB","","['recrrqul8TmAoyTRs']","1"
"","Stock,  (France |  |  | Paris |  |  |)","Stock","['recJVFJjSos0pByqm']","['rec87nQGANeapwGK1']","1"
"","Nubia,  ()","Nubia","","['rec74j9IJ8Zs15JDf']","1"
"","Bucknell University Press,  (United States | Pennsylvania |  | Lewisburg |  |  |)","Bucknell University Press","['recFf7IE9QyvkFzPo']","['recQyZ02jFQ9fqKFA']","1"
"","Fontana (HarperCollins),  (United States | New York |  | New York |  |  |)","Fontana (HarperCollins)","['recqWqrNjE6c3GTCl']","['recHIVwnRrCpglvFg', 'reclnoGbsgAKLA5Jd', 'rec2DeO4PTTeUMDqC']","3"
"","Zed Books,  (England |  |  | London |  |  |)","Zed Books","['recqdvLDX4FnsD7mI']","['recf9b7P1NqJALtpm']","1"
"","Dufour Editions,  ()","Dufour Editions","","['reclLjwtis9x8t2os']","1"
"","French & European Pubns,  ()","French & European Pubns","","['recGcB5Np5qR9sMN6']","1"
"","Imprimerie Nationale,  (Madagascar |  |  | Tananarive |  |  |)","Imprimerie Nationale","['recdXCBTSP20jRBl3']","['reciCfQlvSne3MICT', 'recr3mKgPzF3nS3U5', 'recLn4GsvJr2hN0oc', 'recLpTEU9h4WLN3nP', 'recoJ4MfdQDKnjIMt']","5"
"","Hatier ,  (France |  |  | Paris |  |  |)","Hatier ","['recJVFJjSos0pByqm']","['recXUWnaxD3pb2Yot']","1"
"","Éditions Clé,  ()","Éditions Clé","","['recizSbjHoVk6C6um']","1"
"","House Of Anansi,  (Canada | Ontario |  | Toronto |  |  |)","House Of Anansi","['recirPTcbm9Vy5ToO']","['rectzJEFnruLLtVNB']","1"
"","L'Harmattan,  ()","L'Harmattan","","['recfynS2g7ToNNvJa']","1"
"","Wentworth Press,  ()","Wentworth Press","","['reclCuzfpwOsYHWqB']","1"
"","East African Publishing House,  (Kenya |  |  | Nairobi |  |  |)","East African Publishing House","['rec3ajsXVTrzBXbZ7']","['recOSmtmRwDuisH9n', 'recj3jrhVHguFTlf5', 'recN2k0VsE3FTTUQX', 'recpgY3ee29U8Cgqp', 'recvAjcVeEdg6uOI5']","5"
"","College Press,  ()","College Press","","['recN2GP7d4fVOc7Z7']","1"
"","Ubu Repertory Theater Publications,  (United States | New York |  | New York |  |  |)","Ubu Repertory Theater Publications","['recqWqrNjE6c3GTCl']","['reccEz3DQRY5xVaVF']","1"
"","Verschoyle,  ()","Verschoyle","","['recxFsrjqR6Map4ye']","1"
"","Philpott and Collins,  (Zimbabwe |  |  | Bulawayo |  |  |)","Philpott and Collins","['rec6xWrPFdYQ9lqjP']","['rec9OCBhOrmeB1poh']","1"
"","Snail Press,  (United States | California |  | Los Angeles |  |  |)","Snail Press","['recMt6L5p9Es4dD3W']","['recxETyUh49hyQDP5', 'reci3cACm7hDko70r', 'recGF0hJDVm4CZnEm', 'recKh8NYTkXXZzYGO', 'recPCrEix5F7sRDRL']","5"
"","St. James Press,  ()","St. James Press","","['recWERrkm2HdOVp5D']","1"
"","Thorold's Africana Books,  ()","Thorold's Africana Books","","['recsVovnbyfzJmLQy']","1"
"","Nouvelles Éditions africaines,  (Senegal |  |  | Dakar |  |  |)","Nouvelles Éditions africaines","['rechmKfXaL4thyq7K']","['recrCeaBlBBsSL0GE', 'recaTE9dhv45XBt3d']","2"
"","Doubleday & Company, Inc,  (United States | New York |  | New York |  |  |)","Doubleday & Company, Inc","['recqWqrNjE6c3GTCl']","['recETlehgP7X964dl', 'reckSdC3yEgiuLDWF', 'recKBLNfgjkFVeQVv', 'recBugcA9G5MD7cCn']","4"
"","Third Press,  ()","Third Press","","['recrQSCJ1MvSle6TJ', 'recnxoCmplZVwEQKg']","2"
"","Hogarth Press,  (England |  |  | London |  |  |)","Hogarth Press","['recqdvLDX4FnsD7mI']","['recSevj3nZQNQespX', 'recQdCCVTzi0YyzXV', 'recwZhqKRvpWYqdm3', 'recTpPHuNwh3Q7MDQ']","4"
"","James Currey,  ()","James Currey","","['reclVnQp6Orb3Hxs4']","1"
"","Rex Collings,  (England |  | Oxfordshire | Oxford |  |  |)","Rex Collings","['recyDy7HYxibMf3f0']","['rec8Wf2UJJkGEyqFA', 'rec7uuTy9qChBIZVO']","2"
"","Purnell,  (England |  |  | London |  |  |)","Purnell","['recQv4awWXxtsWGB4']","['recj9qPwTyVidJVTB', 'recNpeZAaM1b3Ow96']","2"
"","J. H. De Bussy,  (Netherlands |  |  | Veenendaal |  |  |)","J. H. De Bussy","['recWQtvfUDVv24uDl']","['recERwXgbVvT8C8vt']","1"
"","Club Afrique loisirs,  ()","Club Afrique loisirs","","['recJG8qSKTL0GwEyr']","1"
"","Palala Press,  ()","Palala Press","","['recn8uRS1yrjIUTyt', 'recEE0VsYI5a6oGXd', 'rechW5FBKvVeX6SjC']","3"
"","Pergamon Press,  (England |  | Oxfordshire | Oxford |  |  |)","Pergamon Press","['recyDy7HYxibMf3f0']","['recow5Wpfe047e0Ru']","1"
"","G. Gale,  ()","G. Gale","","['recaGR6yMkkaClu4t']","1"
"","Rex Collings,  (England |  | Oxfordshire | Oxford |  |  |)","Rex Collings","['recyDy7HYxibMf3f0']","['recVYrIXwFJS02m9C']","1"
"","(T. M.) Maskew Miller,  (South Africa |  |  | Cape Town |  |  |)","(T. M.) Maskew Miller","['recaFh0XjN5t82tvf']","['recDeDw9vRByI3FfT']","1"
"","The Abbey Press,  (Scotland |  |  | Edinburgh |  |  |)","The Abbey Press","['recOPJpt1V4mPFydt']","['recqroGZ485kKZF7w']","1"
"","Vanderbilt University Press,  (United States | Tennessee |  | Nashville |  |  |)","Vanderbilt University Press","['rec4ES4dqduptWAmw']","['recJvbp7Cd5oQPNVT']","1"
"","Afram Publications Ghana Ltd,  ()","Afram Publications Ghana Ltd","","['rec7uJlgwszLmb2QL']","1"
"","Books of Rhodesia,  ()","Books of Rhodesia","","['recvIxldEL73z5O3l']","1"
"","Seghers,  ()","Seghers","","['rec7OQaIqp7o0zR3A']","1"
"","Cathedral of St Michael and St. George,  ()","Cathedral of St Michael and St. George","","['rec9tZtUXAgBSCAly']","1"
"","Fourth Dimension Publishers,  (Nigeria |  |  | Enugu |  |  |)","Fourth Dimension Publishers","['recjpM5vgBQ4VYIzQ']","['recbj3imb22OWlOc0']","1"
"","Civil and Military Gazette Press,  ()","Civil and Military Gazette Press","","['recFuBX3BZPEZPK8J']","1"
"","Perskor,  (South Africa |  |  | Cape Town |  |  |)","Perskor","['recaFh0XjN5t82tvf']","['recTd5sZmr29UlrED']","1"
"","K. Paul, Trench, Trubner & Company, Ltd.,  ()","K. Paul, Trench, Trubner & Company, Ltd.","","['rec1v4bek2aQc2rLQ']","1"
"","Methuen Publishing Ltd,  (England |  |  | London |  |  |)","Methuen Publishing Ltd","['recqdvLDX4FnsD7mI']","['recNn3GXnED6kTDZY', 'recoZbGiidJTR1pm6']","2"
"","David & Charles,  ()","David & Charles","","['recY2rheuGW7Ocs4N']","1"
"","Pro Ecclesiadrukkery,  ()","Pro Ecclesiadrukkery","","['rec5O5Bg46NLPRyt5']","1"
"","University of Virginia Press,  (United States | Virginia |  | Charlottesville |  |  |)","University of Virginia Press","['recnKm1VdxmI4Dnxa']","['reccJZvpTJSvov2m9']","1"
"","Horn Publishers,  ()","Horn Publishers","","['recvSMGvzQdLurceD']","1"
"","Seven Stories Press,  (United States | New York |  | New York |  |  |)","Seven Stories Press","['recqWqrNjE6c3GTCl']","['recN6cJqRgzZUPE3Y']","1"
"","Fortune Press,  (England |  |  | London |  |  |)","Fortune Press","['recqdvLDX4FnsD7mI']","['recRsYmvyh1NRFcK4']","1"
"","R. A. Thompson,  ()","R. A. Thompson","","['recSxDKoc9OVPBVli']","1"
"","New Horn Press,  (Nigeria |  |  | Ibadan |  |  |)","New Horn Press","['recNzKrK8sZIVIUBi']","['recBShU2gjqaaE4qL']","1"
"","Noonday Pr,  ()","Noonday Pr","","['recQ5WeJ2tFbM6pf5']","1"
"","Editions Ophrys,  (France |  |  | Paris |  |  |)","Editions Ophrys","['recJVFJjSos0pByqm']","['recUvjDZr3HcSm1Yf']","1"
"","Editions Saint-Germain-des-Prés,  (France |  |  | Paris |  |  |)","Editions Saint-Germain-des-Prés","['recJVFJjSos0pByqm']","['recKwr1S8ieRvTra6']","1"
"","Scribe Press,  ()","Scribe Press","","['recTdAE3hHtY1eDJU']","1"
"","Anansesem Publications,  ()","Anansesem Publications","","['recnSSMsU61PN5bp3']","1"
"","Chatto & Windus,  (England |  |  | London |  |  |)","Chatto & Windus","['recqdvLDX4FnsD7mI']","['recIA1jcKZUGebGEL']","1"
"","Rupert Hart-Davis Ltd.,  (England |  |  | London |  |  |)","Rupert Hart-Davis Ltd.","['recqdvLDX4FnsD7mI']","['recmaBKV7dpoJ0hO8']","1"
"","University of Port Harcourt Press,  (Nigeria |  |  | Port Harcourt |  |  |)","University of Port Harcourt Press","['rec7DGOawHV20CQBB']","['recL3hZ4k37mnU4oT']","1"
"","Coward-McCann,  ()","Coward-McCann","","['recTLE6SEvWY61uTW']","1"
"","Elkin Mathews,  (England |  |  | London |  |  |)","Elkin Mathews","['recqdvLDX4FnsD7mI']","['rec7PnK1kkXyYk7aO']","1"
"","G. Richards,  ()","G. Richards","","['recQinDoD7FzVkj2Y', 'recZzLWOVnw4IQrAQ', 'recCJOWgzm1uBEq2U']","3"
"","Sono Nis Press,  ()","Sono Nis Press","","['recgx0ezl5WsN9mmE']","1"
"","Polygraph,  ()","Polygraph","","['recI4GvlBCOWQtBZK']","1"
"","The Saint Catherine Press Ltd,  (England |  |  | London |  |  |)","The Saint Catherine Press Ltd","['recqdvLDX4FnsD7mI']","['rec2cmlGN4oZm5W6v']","1"
"","G.P. Putnam's Sons,  (United States | New York |  | New York |  |  |)","G.P. Putnam's Sons","['recqWqrNjE6c3GTCl']","['recGxJFddECs7lbVx', 'recjiQRWwsXdGFvIy', 'recRFpQzpjZrmgMNz']","3"
"","Unisa Press,  (South Africa |  |  | Pretoria |  |  |)","Unisa Press","['recA9tRal293H7c2O']","['recBFzFuAyPq0kkQ2']","1"
"","Mayibuye Books,  ()","Mayibuye Books","","['recJdyvl7ONpFDAWW']","1"
"","Arts & Culture Trust,  ()","Arts & Culture Trust","","['recvvTWqVBGNAp8yD']","1"
"","Outposts Publications,  ()","Outposts Publications","","['rectNrvQLV9Utzt9w']","1"
"","E. Nash,  (England |  |  | London |  |  |)","E. Nash","['recqdvLDX4FnsD7mI']","['recsPAPN1vd4hXjmp']","1"
"","A. R. Mowbray,  (England |  |  | London |  |  |)","A. R. Mowbray","['recqdvLDX4FnsD7mI']","['recja72ySgOUeEo6E']","1"
"","J.M Dent & Sons Ltd,  (England |  |  | London |  |  |)","J.M Dent & Sons Ltd","['recqdvLDX4FnsD7mI']","['recx1mrun5kVy6yzD', 'recsCbMaMc83QiMyY', 'recCWRtyEW0GexTky', 'recvh9CcrEuEAa90V', 'rec2W5FvsGEvghVOH', 'recoEMJh8Aj39HRfC', 'rec8S5rB6zWxmkItf', 'recdIn4cK0chldqCX', 'rechQBmt1Ot89cBUd', 'rec31eAm77I2A0OAO']","10"
"","E. Mathews,  ()","E. Mathews","","['rec2y57BcpmgDMMYz']","1"
"","Howard University Press,  (United States | District of Columbia |  | Washington |  |  |)","Howard University Press","['recyfUyZEntoX5ySC']","['recEa1Co5Yx2cL0ud']","1"
"","Editions de Mirages,  (Tunisia |  |  | Tunis |  |  |)","Editions de Mirages","['recmOXPbPVyOxo1wz']","['recPMqAsdA0KrMP7s']","1"
"","Carapace Poets,  (South Africa |  |  | Cape Town |  |  |)","Carapace Poets","['recaFh0XjN5t82tvf']","['rec3VDlKRKdrJVux5']","1"
"","Heinemann Kenya,  (Kenya |  |  | Nairobi |  |  |)","Heinemann Kenya","['rec3ajsXVTrzBXbZ7']","['recyNanFXQ3eogcbK']","1"
"","Kagiso Publishers,  (South Africa |  |  | Pretoria |  |  |)","Kagiso Publishers","['recA9tRal293H7c2O']","['recx8OwrYQjnjyeCG']","1"
"","Harvard University Press,  (United States | Massachusetts |  | Cambridge |  |  |)","Harvard University Press","['recLtwM2ELmIWL2Fo']","['recSxvGr0TSWeBNOU']","1"
"","Querido,  (Netherlands |  |  | Amsterdam |  |  |)","Querido","['recowlYYszmbm5vw8']","['recvIkmygSRQCzeez', 'recDYVqAsSL6Jmr6e']","2"
"","National Educational Company of Zambia, Limited (NECZAM),  ()","National Educational Company of Zambia, Limited (NECZAM)","","['recFkiILHtSMsDeaE']","1"
"","Ophir Press,  ()","Ophir Press","","['reco4Pem0OD8T4gqj']","1"
"","Sheep Meadow Press,  (United States | New York |  | Rhinebeck |  |  |)","Sheep Meadow Press","['recktLm7VcejyDJ5L']","['recOZPOYmRT7KRvno']","1"
"","Vantage Press,  (United States | New York |  | New York |  |  |)","Vantage Press","['recqWqrNjE6c3GTCl']","['rechxV1JqemnLnonJ']","1"
"","Echoing Green Press,  (South Africa |  |  | Fish Hoek |  |  |)","Echoing Green Press","['recbBE0Jsf7muP2Ho']","['reclnN968H6nP4n5F']","1"
"","Mallory International,  ()","Mallory International","","['recgo61UN7wuI7TqY']","1"
"","Renoster Books,  (South Africa |  |  | Johannesburg |  |  |)","Renoster Books","['receqvJHUxo7fwpt1']","['rec89Yal5AeoUqglT']","1"
"","Africana Publishing Corporation,  ()","Africana Publishing Corporation","","['recX23FNnQMrweXy2']","1"
"","The Feminist Press,  (United States | New York |  | New York |  |  |)","The Feminist Press","['recqWqrNjE6c3GTCl']","['rec1ynomfHhEvkhHJ', 'recAQFe0ShdD7i2Od']","2"
"","Ballantine Books,  (United States | New York |  | New York |  |  |)","Ballantine Books","['recqWqrNjE6c3GTCl']","['recbZrlFVxVMUN89z']","1"
"","Rodopi,  ()","Rodopi","","['reciG0dxoZKvfsNh3']","1"
"","Tinder Press,  (England |  |  | London |  |  |)","Tinder Press","['recqdvLDX4FnsD7mI']","['recdlZYacj56N5WgB']","1"
"","Bloomsbury,  (England |  |  | London |  |  |)","Bloomsbury","['recqdvLDX4FnsD7mI']","['recetSry0c6sqwZAc', 'recj7jL7lfmGM69c1']","2"
"","Wiley-Blackwell,  ()","Wiley-Blackwell","","['recqWxVp7O5cQxVv7']","1"
"","Virago,  ()","Virago","","['reck9f9L99tpaoTXx', 'recIuqe2q0a2TGu60']","2"
"","Picador,  (England |  |  | London |  |  |)","Picador","['recqdvLDX4FnsD7mI']","['recmJ2zmV394WgSYt']","1"
"","Dangaroo,  ()","Dangaroo","","['rechHITjz9uKBljUy']","1"
"","Pitman,  ()","Pitman","","['recjjQILkR8qvoIES']","1"
"","Samuel French,  ()","Samuel French","","['recJYkW2vRXLlfH99']","1"
"","P. Bedrick Books,  (United States | New York |  | New York |  |  |)","P. Bedrick Books","['recqWqrNjE6c3GTCl']","['rec1BegI6NXfRYQHt']","1"
"","The Harvill Press Ltd,  (England |  |  | London |  |  |)","The Harvill Press Ltd","['recQv4awWXxtsWGB4']","['recTo65wRzkTnGXF8']","1"
"","Micheal Joseph ,  (England |  |  | London |  |  |)","Micheal Joseph ","['recQv4awWXxtsWGB4']","['rec0aqudgSzYcwUtd']","1"
"","Allen and Unwin,  (England |  |  | London |  |  |)","Allen and Unwin","['recQv4awWXxtsWGB4']","['rec701SWtzWZzXRGO']","1"
""," ‎ Liveright Pub Corp,  (United States  |  |  | New York City |  |  |)"," ‎ Liveright Pub Corp","['recmZ3bBQbM5KN3Jn']","['rechv12ZXIKlL1cow']","1"
"","Weidenfeld & Nicolson Ltd,  (England |  |  |  |  |  |)","Weidenfeld & Nicolson Ltd","['recsHSg1B0Mkc3bhe']","['recllKnA8fL3ndxKi', 'recCPUdmw4Dsc13lW']","2"
"","H. Regnery Company,  (England |  |  |  |  |  |)","H. Regnery Company","['reccMFl73XK1eCiYS']","['recSEL2h3v6367ht7']","1"
"","University of Missouri Press,  (United States  |  |  |  |  |  |)","University of Missouri Press","['recwtl1AJZmVAsIlx']","['recbCVRpbdByqNbG0']","1"
"","J. M. Dent & Sons Limited,  (England |  |  |  |  |  |)","J. M. Dent & Sons Limited","['recsHSg1B0Mkc3bhe']","['recMl6dkoVuoDz2Bp']","1"
"","Viking Press,  (United States | New York |  | New York |  |  |)","Viking Press","['recqWqrNjE6c3GTCl']","['recPdergZSrCb0109', 'recQg4wxt4r2Xpsd1']","2"
"","Bantam Press,  (England |  |  | London |  |  |)","Bantam Press","['recQv4awWXxtsWGB4']","['recnzjhSTPbAnsPYj']","1"
"","Robert M. McBride & Company,  (United States |  |  |  |  |  |)","Robert M. McBride & Company","['recydypO7jRvlRMnY']","['recaTxsZxxHklHFzb']","1"
"",",  ()","","","","0"
"","Cecil and Amelia Woolf,  (England |  |  | London |  |  |)","Cecil and Amelia Woolf","['recQv4awWXxtsWGB4']","['recxN0RPQF8nben4n']","1"
"","Grove Press,  (United States  |  |  | New York City |  |  |)","Grove Press","['recmZ3bBQbM5KN3Jn']","['recBFLldzogslzujB']","1"
"","Michael Joseph,  ()","Michael Joseph","","['recfAzF8suCiEQDoe']","1"
"","André Deutsch,  (England |  |  |  |  |  |)","André Deutsch","['recsHSg1B0Mkc3bhe']","['recPX4cGF6BvBXEqj', 'recx80xCHGGrhI2Jh']","2"
""," Palgrave Macmillan,  (England |  |  | London |  |  |)"," Palgrave Macmillan","['recQv4awWXxtsWGB4']","['rec9fGIrHiW87fsQF']","1"
"","MacMillian,  (England |  |  | London |  |  |)","MacMillian","['recQv4awWXxtsWGB4']","['recidhapexRFagjvo']","1"
"",",  ()","","","","0"
"","W. H. Allen,  (England |  |  | London |  |  |)","W. H. Allen","['recSj8anC3xqmf72t']","['recLRGlj5NgxUDHVy']","1"
"","Salamander Press,  (England |  |  | London |  |  |)","Salamander Press","['recSj8anC3xqmf72t']","['recbwhasTTqEwJNQ2']","1"
"","Hamish Hamilton Limited ,  (England |  |  | London |  |  |)","Hamish Hamilton Limited ","['recSj8anC3xqmf72t']","['rec2WIjzIFmfRP9po', 'recCGVhuMya5rimS1']","2"
"","Mandarin Publishing ,  (England |  |  | London |  |  |)","Mandarin Publishing ","['recSj8anC3xqmf72t']","['recwhCMV7SVx0EzUv']","1"
"","Collins Harvill,  (England |  |  | London |  |  |)","Collins Harvill","['recSj8anC3xqmf72t']","['recOH2xuFhy3ZOErk']","1"
"","Peter Halban Publishers Ltd,  (England |  |  |  |  |  |)","Peter Halban Publishers Ltd","['reccMFl73XK1eCiYS']","['recsgfcKs6Iw1QxRo']","1"
""," McClelland and Stewart,  (Canada |  |  |  |  |  |)"," McClelland and Stewart","['recWu4O9aZE7MkYv3']","['recK0D8qkQgl70nbO']","1"
"","Vintage UK,  (England |  |  | London |  |  |)","Vintage UK","['recSj8anC3xqmf72t']","['rec2Pc1k62k9mi3Vi']","1"
"","Gollancz,  (England |  |  | London |  |  |)","Gollancz","['recSj8anC3xqmf72t']","['reckKC9RAyu7NDBa9']","1"
"","African and Afro-American Research Institute, University of Texas at Austin,  (United States | Texas |  | Austin |  |  |)","African and Afro-American Research Institute, University of Texas at Austin","['recqlEnT5yrQHPTfF']","['receUkbxcOdBmiYn7', 'recFy0KwhZUs6sU0H']","2"
