"airtableID","Primary field","Name","[location]","[works]","Count (works)"
"reciivDIRnYHFeL8s","Harvester Press,  (England |  |  | Sussex |  |  |)","Harvester Press","['recbc8ncrNL7MsRYE']","['rectlbaQzGc0cLljs']","1"
"recfQfdrVOmme1uCH","Okike Magazine,  (United States | Massachusetts |  | Amherst |  |  |)","Okike Magazine","['recwWUx22NeyxpNs1']","['recBGpFUGJh64Cggr']","1"
"recjrkARtlJ2gcxyJ","Heinemann,  (United States | New Hampshire |  | Portsmouth |  |  |)","Heinemann","['recT5J8B7MkFgORAJ']","['recLPhLqx3q8PkhSZ', 'rechrjBSSNQRHiEol', 'receQo4eTJfH24LCF', 'rec0Q5t7IqKWkaKXR', 'recoT3Eb8LJGzJhY4', 'rec0Mjo7EotcoC7sg', 'recxE7YRFnoMiqntz', 'recEPWvOt1fGt6Xmj', 'recHwR2DATUf7elOy', 'recRtK9X0aMHxMxhL', 'rechKBLUK4byUZcdH', 'recnoGGlPPMwSEN2g', 'recb8x062LhF7sDX8', 'recryDAaCLaf7MEzR', 'rec0yHvjNRzEMY4WF', 'recrjPlJBO9fKw3yp', 'recxJ2GH8h9F9iknR', 'recPRiKDqErteKUry', 'recmoItnxHgsDijXB', 'recCB0Xhbxdb2YsQs', 'recDYGarQGPzzBFAE', 'recmPUG7lII1nXEjV', 'recQdDIJc2eo7FKCl', 'recedmDRFirogO4pP', 'recSUegbiaBt8Vntu', 'recQ8OK71OqHEWMYB', 'recV9hgyrogjGBvgs', 'recv7OD8XMafugQQo', 'recvcbRfRCHTUQf7l', 'rec4eSbI0jf7p4dQZ', 'recQh69Iunkv8xfqZ', 'recd1ikSRyudWvCym', 'rec3nEkrrE7gutXjK', 'rec4YLfXnsoBIS1P0', 'receChLt2nIUXgjI2', 'recMPJzcT9gGGW2o2', 'recnCdqKsNFxs4S3v']","37"
"recw3t5szjEHXsMWm","Editions Hautefeuille (Caracteres),  (France |  |  | Paris |  |  |)","Editions Hautefeuille (Caracteres)","['recJVFJjSos0pByqm']","['recpT2Iu3y2W8OASE', 'rec57tEGQwXUzmwH3']","2"
"rec6zErNxMQQtE9Ca","Heinemann Educational,  (England |  |  | London |  |  |)","Heinemann Educational","['recqdvLDX4FnsD7mI']","['recOqU9uGuGf7baHS', 'recpJOg9jQqDJTCUe', 'recPWqaLfwHuEI8M3', 'recbO6WzAyJzAYBTZ', 'recZMGsFTS1mIZtRc', 'recLCsUgX06MJDqgx', 'rec2OR42EobqKpwpa', 'recKNnV3JaqfT2ZZ5', 'recyFNDVc5W498ESy', 'recTvsdScEBRXF9hk', 'recAHZVFx7Ct5AlTD', 'rechGIOqmtByEnAD7', 'rec9wSJsbrW3TvrLK', 'reclWj8pA7yu67f8N', 'recgFTwzyKBsE13L5', 'recc2LwPEFe3BfFN3', 'recSwTBK0v5RPsihl', 'rec95232Vn5RGgpLw', 'rec7qBCHpQ5mZSL4i', 'recDz5jHT5JsB71Rb', 'recuERgI1P1UZ4W8g', 'reczKTCmnlc9HCthm', 'rec37upXmUN6P4fTf', 'recLQAQqWa4lVwdU2', 'recb6yPtwtR1b8b3R', 'recxS13JamD5y7Omg', 'reclf8ogXs8WECbnI', 'recV5dgKmqBQM2T1C', 'recir19Z3IOHf9W8L', 'recqDeUW37we4j8ue', 'reckSj3LY8ICHECmD', 'recjzrCa9YVpUMrzP', 'recpD57DZ3oHR1Sea', 'recqd37NucScWk3wp', 'rec6HoqPNYBNAxmnD']","35"
"recRYWGuCCdGLxHES","Hodder and Stoughton,  (England |  |  | London |  |  |)","Hodder and Stoughton","['recqdvLDX4FnsD7mI']","['rec9KScKqPuUoOoKz', 'rec06oYfqUyvOE4tV', 'recXeo73WXvjW3yXD', 'recNqzinUiveymghi', 'recv33TEnaaUmCrBi', 'recec4RCAoyl6q5Vq']","6"
"recdGgY0o0DkiM6D3","Faber & Faber Ltd.,  (England |  |  | London |  |  |)","Faber & Faber Ltd.","['recqdvLDX4FnsD7mI']","['recId4OZRLMbhLYnW', 'recaG9ORPZk6jFVr0', 'rec0LcRghFr5BDF4x', 'recHa4BWBU6c2XVkc', 'recxSNRCghMXncruR', 'rec4mRZLxsPVzuHRj', 'recEEfCGQNlE3TlCK', 'reccnVBmnja6Fcefi', 'recoprOfz0rx6ZSjp', 'recgYq1rqJDhuoOcG', 'rec8f6rSWPIA0RvHp', 'recyKvkq38tXA9gOC', 'reczFrWi4O8yhSZUE', 'reccTp79B20U76tdC']","14"
"recfaNQZXQqcIKRCd","Elliot Stock,  (England |  |  | London |  |  |)","Elliot Stock","['recqdvLDX4FnsD7mI']","['receZNjNeARlqkczq']","1"
"recMp5y3Tocz94VfN","Greenfield Review Press,  (United States | New York |  | New York |  |  |)","Greenfield Review Press","['recqWqrNjE6c3GTCl']","['rec6oZGjs4wpDR0lA', 'recrzPEzGPvQjGzX4', 'recvt9Vxly4f22vSN', 'recLOfvELNwHLZv2j']","4"
"recOu1HZ8xVuuerh6","Edward Moxon,  (England |  |  | London |  |  |)","Edward Moxon","['recqdvLDX4FnsD7mI']","['recqzItXdrPaMzkvJ']","1"
