"airtableID","Id","Name","[locations]","educations [join]"
"recM11VAW2fWzPDKL","University of Natal,  (South Africa |  |  | Natal |  | )","University of Natal","['recAdor1XpIQj7cbU']","['recD2XzCQxu2iXORM', 'recCXIf8lwbC0O4wi', 'recfcbaY99BwFHeHb', 'recfoesW2MZISzzJ3', 'rec3SozAkTnBBD9gV', 'recKdWe4DICAXAj7B', 'recxHJLUuxzR3AbFd', 'rece1geuHniBR6Kye', 'recEDmca0PQkY4xZC', 'recZxZFPoJ2j5malN', 'rec63kpZ6BiOVU7GA', 'recsB2oQTJcBHtjNT', 'recD4ISJxwwKHmRo8', 'rec1PNC6pJNjtCad7']"
"recqyrIflPNKodBo7","Trinity College,  (England |  | Cambridgeshire | Cambridge |  | )","Trinity College","['recRLZkA0sd1SZeH4']","['recuHHSD6MT3iggBe', 'recx8HFcLMes4lleb', 'reciuOGu4vNarQFzk']"
"recpniATJZ2xxXDxk","Cuddesdon Theological College ,  (England |  | Oxfordshire | Oxford |  | )","Cuddesdon Theological College ","['recZw13lsI65j01ma']","['recs6yVnN2NVa7FcK']"
"recSahzOwhsCaEt1h","Magdalen College,  (England |  | Oxfordshire | Oxford |  | )","Magdalen College","['recZw13lsI65j01ma']","['reclmNdySFgDctIWZ', 'recl9cdJFmLfzaLRx', 'recGZviFZoRMj9OOj']"
"recagQK4nAq8dYqq8","Wadham College,  (England |  | Oxfordshire | Oxford |  | )","Wadham College","['recZw13lsI65j01ma']","['recMQd5QNZ3TUDEB9']"
"recWQci3ZaBGmSzj8","Ecole Normale William-Ponty,  (Senegal |  |  | Kolda |  | )","Ecole Normale William-Ponty","['recvbJQb4b37Hjsi8']","['recZ5IBalie8vKlHB']"
"recG4dS6Wiu4K8UBv","École Normale de Katibougou,  (Mali |  |  | Katibougou |  | )","École Normale de Katibougou","['reclNofGusQHQdkCJ']","['recTLVpnvHbC6WCs2']"
"recWZUqvy9UDKKCoH","University of Toulouse,  (France |  |  | Toulouse |  | )","University of Toulouse","['recetXlxCcxKVgwta']","['recgz0kNnEwqdws3h', 'rec4WlkAmEbbbLhSq']"
"recAYV8Mv6DlMEPt2","Cornell University
,  (United States | New York |  | Ithaca |  | )","Cornell University
","['rec0KXwVH1vcpBlyV']","['rec9piOtkCadg0ZnE', 'recNVhxPBwoNjbc6t', 'rectzc5y0ruKGe3Ez', 'recr7FYo1f4hsL2L6', 'recoqSSEoJOmqyF02', 'recy2kHuFzB8nold9', 'recCuG9VBhlFSnrLm']"
"reclpHNGTKzlJ6PFd","University of Ibadan,  (Nigeria | Oyo State |  | Ibadan |  | )","University of Ibadan","['recesdnoCDNCstSIs']","['recHYegQSMzrqHePJ', 'recdlkYgscpxaEubi', 'rec3tU26pFhfIzWq4', 'recmJqE8qwyOJ6OAr', 'recHb24xXYh54ozyQ', 'recH5HVixkKawpTPG', 'rec8QdOVleXSaKQoL', 'recGebMKXRg09PCZZ', 'recFjjW76Lf0dACjk', 'recVgdxhtz0PnD9Wl', 'recbJbDISxGQ8gn6B', 'recBDof7wtBEPNZrh', 'recEv6FloTJb1C4Dk', 'recOwiGyGQSdnnFsx', 'rec3lEHPINkMc27iE', 'reca29j0nMPLFTGef', 'rec31SLj6lo3YEfkX', 'rec3sX2r4hlQV2joe', 'recN8hhBOrk2b65Oq', 'recWjgR3xaWLEqO6e', 'recNcOXGXFsVB9i8I', 'recjpsIVLCL3wtieT', 'rec5uBI53KKyMf4bb', 'recKS7gAO8CNRJ54i', 'recM1PZoinXeQAGva', 'recy0zvsl2ZjVOK8J', 'recUzQQsyyMYsriYE', 'recONrszxIjBVXVUD', 'recoTtpPu5BMgyVHS', 'recy7pxKjM5QXcfjO']"
"rec8skiHiDl504C6f","University of Durham,  (England |  |  | Durham |  | )","University of Durham","['recIepZATHwn0qVtE']","['recwGx0pykmaCUk5k']"
"reckwS53DxJW2VHxL","University of Zululand,  (South Africa |  |  | Natal |  | )","University of Zululand","['recAdor1XpIQj7cbU']","['recqpwJgxRopGEnOc', 'recMNvYshGnyIckTT']"
"recxpM30Kg4EUW1Rb","University of Sheffield,  (England |  |  | Sheffield |  | )","University of Sheffield","['recE65je4kpVikr3y']","['recR1H57Z9XD2XIUd', 'recxPqXb9ZxzGDqrY']"
"rech58muDl0CYb53E","Massachusetts Institute of Technology
,  (United States | Massachusetts |  | Cambridge |  | )","Massachusetts Institute of Technology
","['reccmZIG8WaCtw0My']","['recVrO7MEnBEwE2Ho', 'recQkGV7IBtMDJ0ZE']"
"recEhu57UMBKmdvzJ","SUNY at Buffalo,  (United States | New York |  | Buffalo |  | )","SUNY at Buffalo","['rec8O1OX3UH9GeK2U']","['recbXhl0NBeA5F5pt', 'recwP9FRRRm4XFiAs']"
"recvJV4YAvWaLBJky","South African College,  ()","South African College","","['recbD8dBBI2Z7JBhX']"
"rece1L9bl6kn7HZTA","University of Stellenbosch,  (South Africa |  |  | Stellenbosch |  | )","University of Stellenbosch","['recL9Ygk9XUH16OOc']","['rec2ERDLACJKsm5Bl', 'recykEmNQdScpPuSN', 'recsXoYV6ngkfmSsO', 'recGRqNg6QYAI8DdA', 'recxXSEJ1Rhw5ZLQy', 'recFSGIs5Uj3DCEHM', 'rec7b8s3qr7CQR5r8', 'recFbalUXpmL1q1mB', 'recORreTBpEw0UBUW', 'recjDxJvZzRMx4oxk', 'recQ5IWVEZ0zlQMIp', 'recvOWsv7N3RGJeow', 'recXx3XTte98RMkYe', 'recXAH95fO33A2EVq']"
"recEq8ipuDLENtUwE","University of the Orange Free State,  (""South Africa |  |  | Bloemfontein, Free State |  | "")","University of the Orange Free State","['recIVcyxAaB8rWa7y']","['recQfacUKkxjIK2Ik']"
"rec82mxfVvJ2Bp1SX","University of Pretoria,  (South Africa |  |  | Pretoria |  | )","University of Pretoria","['rec12WNOPdXXeSa9Y']","['rec83v3sYnhv18qJq', 'recpjOWOAWfQ792LC', 'recGLjVHUlvwikj9k', 'recgZWyfc3IVvJl8x', 'recws9FdFobYbEH62', 'rec416B49LYSkgIXY']"
"recsKmRMtKGlmvhHf","Glasgow University,  (Scotland |  |  |  |  | )","Glasgow University","['recT7tEs3G0xeVVHo']","['rec4xH2UmPvWvSFwJ']"
"reckhhQev5s7FQh1G","Howard University
,  (United States | District of Columbia |  | Washington |  | )","Howard University
","['recZ8nuD8yhiuQwZM']","['recm0ihtCpDolZhmE', 'recpOKWcKqpEIJTcK', 'reciqinNNpXjdHrJM', 'recfGpyrTc3iR45EB', 'recPQVao8UYQkBvn3']"
"recKjD2SoudumO98D","Hilton College
,  (South Africa |  |  | Natal |  | )","Hilton College
","['recAdor1XpIQj7cbU']","['rec4l7Ilv1RS5WqIG']"
"rec5j91R5HXY0ErGF","Jesus College,  (England |  | Oxfordshire | Oxford |  | )","Jesus College","['recZw13lsI65j01ma']","['recDlptMkayf16Sg9', 'recL63XsJQrYuT8c4']"
"recLCXrfsIZcWDys6","Univeristy of Malawi
,  (Malawi |  |  | Zomba |  | )","Univeristy of Malawi
","['receZkyG9GibLM5P3']","['recVnYTouCgurqf20', 'recfI0ZlUNroyjPa8', 'recVVgOnKYNiSpsd5']"
"recwqxkHnFaWKU3eg","Institute of Education London
,  (England |  |  | London |  | )","Institute of Education London
","['recR6YHhrfthZo5tS']","['recfKBWxi1rnD9MNq', 'recwxuh8JdSP7T79g']"
"rec1JTP1il8NyQldy","University of Rhodesia,  (Zimbabwe |  |  | Harare |  | )","University of Rhodesia","['recEWO2rZe0WHVrCz']","['recH7xqoNEIDGKOEk', 'recoyQtr3quLTb13L']"
"recmgkTcTsz9sZ4in","University of Iowa
,  (United States | Iowa |  | Iowa City |  | )","University of Iowa
","['recKxrylsaDRWlhmM']","['recGOJPrT2AsIFKY9', 'recjVU8fYwFuRjmxf', 'reclUnykbH7HOPx2f', 'recOi2aYGVvEX6dJy', 'recXhpDfHmsbTbKRt', 'recbiMRLbgA5tC62B']"
"rec63dqyzlDx5zdLd","Columbia University,  (United States | New York |  | New York |  | )","Columbia University","['recRPTnrNPU6ArRJv']","['recNs2GyxwempfjiY', 'recLK4cuy0Tlre74A', 'recGw50vChraAWlrC', 'recJ7ADxDhrjBeOz5', 'rec1b0oDpjOmjCJSk', 'recr6mLlikftDmSsw']"
"recOB6AcoKRzor36T","University of the Western Cape
,  (South Africa |  |  | Cape Town |  | )","University of the Western Cape
","['recByKWBNYTnFNrCp']","['recRAb3pNnADK5cyb', 'rec2CnFrX3XeWAg4W', 'reciiw6tSezIM8Im5', 'recYo8RsAN16CuYVc']"
"recBMgdohHJJCZtGL","Pratt Institute
,  (United States | New York |  | New York |  | )","Pratt Institute
","['recRPTnrNPU6ArRJv']","['rec4o9kKOE3EYCgMB']"
"recYaOlJM5DpNYcP7","Brunel University,  (England |  |  | London |  | )","Brunel University","['recR6YHhrfthZo5tS']","['rec2PLP1vZIaQW2tb']"
"rec6DbUCsPKHJWa5e","Makerere University,  (Uganda |  |  | Kampala |  | )","Makerere University","['reczvcxKIJ5meNQRB']","['recgCnZBdZlUBCHqj', 'recjCH33yxdxEnwcL', 'recL6qhTGYZwToP9X', 'recFVzllvrxivTUMM', 'recTutRrbrZHHrJIO', 'recUYdJu3MwU85VVG', 'rec6Vx14N6y6UeB4K', 'rec174keN8xIjIaIb', 'rec5USGOzD66PWNZi', 'recZ45Nx3OvQWq9Lt', 'recb3rlgQUQsHArtJ', 'recPqsOljvREzVzNQ', 'recLkfEkAvgkilyIR', 'recPMZkKOxz5v4kYt', 'recL44qbWjrF2IQwI']"
"recShp0cHMGUHfNNo","Leiden University,  (Netherlands |  |  | Leiden |  | )","Leiden University","['recXMaJ9Gsl2r8HBg']","['recvzOac0ledXNDSJ']"
"recGBxRAscKN1dM98","Yaba Higher College
,  (Nigeria |  |  | Lagos |  | )","Yaba Higher College
","['rechXxEReQlGKd2ar']","['recBdXudhsShAkIyw']"
"recft4oHotrLS0QsH","Northwestern University,  (United States | Illinois |  | Evanston |  | )","Northwestern University","['rec4AZeZTZivVxhdd']","['rec622mllKxQJ4lCq', 'recyyH5zf2DAInYps']"
"recmHZuIc40bjJ0M6","University of Bristol
,  (England |  |  | Bristol |  | )","University of Bristol
","['recYR7RtcX69vBJsE']","['recdcKE6LJtAZ3UCB', 'recJTQVInla7e0KTP', 'recCW7m478BF8OG8U']"
"recGqSSihJtYd3SZ5","University of South Africa,  (South Africa |  |  | Pretoria |  | )","University of South Africa","['rec12WNOPdXXeSa9Y']","['recEekoLRYjsOVykm', 'recrdwpSz30VSbKpD', 'receE9ZVNDxvnEkpx', 'rec3oYk7nflZynDKr', 'recQrhXcbrmaesK0d', 'rec4ArsfXXosRTHPn', 'recQMSzyBE1V9Ejt4', 'recv3we8xgkgR0hcP', 'recubAJidiaZBWvQf', 'reczUIUG1xPVqovMN', 'recy6IvuRSQ3BN9Ip', 'recAqx1mIATuLltpT', 'recXmxM5lGDRYUG44', 'recSKFphca2azL66k', 'rec6lbYMca2EcxRu5', 'recOr4pCRlFXZrUFY', 'reccEh5GWeglKENjV']"
"recaIQK9G0k1j2KN1","North-West University,  (South Africa |  |  | Potchefstroom |  | )","North-West University","['recCSdknwCuQNJkjz']","['recmZKr4ThXBRqk6y', 'rec2mR48HhPM4fON0']"
"recuG6zkSzfTUg5Gd","Balliol College
,  (England |  | Oxfordshire | Oxford |  | )","Balliol College
","['recZw13lsI65j01ma']","['recO3yGwom57b7lf4', 'recceTwcOBBkljf3N']"
"reciXy4sN3jGCQAuj","University of Edinburgh,  (Scotland |  |  | Edinburgh |  | )","University of Edinburgh","['recfIcl7v6SgmqwkD']","['recCLaHpLfecCZb4V', 'rec2KX4NoKT4J5N7l']"
"recf8tVNTzQKnq93d","University of Paris,  (France |  |  | Paris |  | )","University of Paris","['recaO8FXmzgUWmwxw']","['recZhsEKWcjTtZjTP', 'recIsMxxaOH4Wc8Bi']"
"recjAikPFs9Izr44v","Pretoria Normal College,  (South Africa |  |  | Pretoria |  | )","Pretoria Normal College","['rec12WNOPdXXeSa9Y']","['recsk26efavENfiRY', 'recDjcq0JpWCxmfH9']"
"rec571VzGkER6dg0n","University of Leeds,  (England |  |  | Leeds |  | )","University of Leeds","['recZF7DNd9eSI2awK']","['recZeIKWqRFksdaWV', 'recvh0uoDgzjEILW2', 'recWqFq6TamrIAYW8', 'rec5fAXNXYR3AWcjJ', 'rectAf6CraDAmQ5bw', 'recc9vSe2nsGKEyQK', 'recW0Z2yQB58V7h35', 'recu3RIIpiMOb6Tir']"
"recmfRi39g7JmO1Dc","Oriel College,  (England |  | Oxfordshire | Oxford |  | )","Oriel College","['recZw13lsI65j01ma']","['recWn8a9j25bPzxCj']"
"recX6WJVR4LmR7ZYu","University of Fort Hare,  (South Africa | Eastern Cape |  | Alice |  | )","University of Fort Hare","['recQsTOwGrhHiPMif']","['recqGT76XUUGbaBo4']"
"rec3tGPsSMuQPpbcr","University of Limpopo,  (South Africa | Limpopo |  | Mankweng |  | )","University of Limpopo","['recsXixPd7IW8Nbqi']","['rec0SninRo1ztu4L0', 'recb2AePutYMAimtl']"
"reclXkR5WWqI1ZHXO","University of Eastern Africa,  (Kenya |  | Nandi County | Kapsabet |  | )","University of Eastern Africa","['recbYK7V9Plymm4q2']","['rec0it5fj2hVjHlHK']"
"recFn6m3UzWrYN6X2","Gorky Literary Institute,  (Russia |  |  | Moscow |  | )","Gorky Literary Institute","['reczpMoihksUbsm8n']","['recNFspAWv3rJrMJb']"
"recgMuKrIXoVe1EPp","Essex University,  (England |  |  | Essex |  | )","Essex University","['recxwaEPgfVRRlPPh']","['recXWRbvnew3qVExx']"
"reco8l8xeKCuC2hFK","University of Zimbabwe,  (Zimbabwe |  |  | Harare |  | )","University of Zimbabwe","['recEWO2rZe0WHVrCz']","['rec3DchXS2z9tKwJy', 'recjCr1HCDMzddnj6', 'recyaL03doX8LjiPy', 'recZPHZGI5GYlHaFA', 'recR6jQeaz87IuiGC']"
