"airtableID","Id","Name","[locations]","educations [join]"
"","SOAS at University of London,  (England |  |  | London |  | )","SOAS at University of London","['recR6YHhrfthZo5tS']","['recuW5lrjJ5kuVpe4', 'recavdiBO2xv0EU8A', 'recjgfLoxcMxJLmxo', 'recJcBoV1BWPyBhuD']"
"","Royal Holloway, University of London,  (England | Surrey |  | Egham |  | )","Royal Holloway, University of London","['reclfDHqS0XBCBPjH']","['recF22kNNDRXxkF2W']"
"","St. Antony's College, University of Oxford,  (England |  | Oxfordshire | Oxford |  | )","St. Antony's College, University of Oxford","['recZw13lsI65j01ma']","['rec3fpjVdD3GP9nne']"
"","St. Anne's College, University of Oxford,  (England |  | Oxfordshire | Oxford |  | )","St. Anne's College, University of Oxford","['recZw13lsI65j01ma']","['rec7oXAfsCqkaU4mZ']"
"","University of Yaoundé,  (Cameroon |  |  | Yaoundé |  | )","University of Yaoundé","['recLRDz7pmTg15vkv']","['recsPVcWitD1NiJ09', 'recTQCPci79LJkokQ', 'recW7auZUblFgG25v', 'recA3LxOreOcDqjlZ', 'recU1rqRhOtydvzN6', 'recXxKOj5c9365yWw', 'recpAVeVEXXYDSByo', 'recQByNS7HdFDnhbn', 'recDBRQAzgF44vmtC', 'recPUIvJzI9I7XUIn', 'rec4px9ThGITjyfcR', 'recr9v1gUGyW2JotK', 'recpdvydOzQuDmpIs', 'rec6LdD8CwwLYKhRL', 'recOzfjcXaVDbAPzr', 'recJHWzsaP6uZZ0oB', 'recms80jZ9T3zXwuZ', 'recKJ6NscrVoCrV9h', 'recZSmWRZL4Kw2BUN', 'recLWkiNqchV78g0b']"
"","University of Oregon,  (Oregon |  |  | Eugene |  | )","University of Oregon","['recFKSvV1J5LUYqDg']","['rectuyNumKfMWFHlB']"
"","University of California, Los Angeles,  (United States | California |  | Los Angeles |  | )","University of California, Los Angeles","['recdmzHJTksmBYBa6']","['rec2S0hpFonvZHoqF', 'recnnZfHeqMn3FI70', 'rec2HuxIPBiu97ptc']"
"","University of Wisconsin-Madison,  (United States | Wisconsin |  | Madison |  | )","University of Wisconsin-Madison","['recHojqh4H7V9HokO']","['recagRlUnYVdY0hQZ', 'recjq8gqpqiRwqhvb', 'recSKg4NO1WiI4lOw', 'recNtHQq7VAKKuggi', 'recZJvQWIcRlkWstR']"
"","Residential College in the Arts and Humanities at Michigan State University,  (United States | Michigan |  | East Lansing |  | )","Residential College in the Arts and Humanities at Michigan State University","['recPK9m0SggX46Kv9']","['rec8DPjPVmuKHEKeY']"
"","North Carolina State University,  (United States | North Carolina |  | Raleigh |  | )","North Carolina State University","['rec4YSB3iyfiO3q4j']","['recEEQBG0KwmyswFe']"
"","University of Cincinnati,  (United States | Ohio |  | Cincinnati |  | )","University of Cincinnati","['recb9hV5Jxfp51mjD']","['recL4rUVyegRGeAL8']"
"","White River Primary School,  (South Africa |  |  | White River |  | )","White River Primary School","['recIvjAZeYYe7RvXu']","['recNTPJJbXkzotbys']"
"","South African College High School,  (South Africa |  |  | Cape Town |  | )","South African College High School","['recByKWBNYTnFNrCp']","['reck1diq2ikjiZGIL']"
"","Sorbonne Université,  (France |  |  | Paris |  | )","Sorbonne Université","['recaO8FXmzgUWmwxw']","['recQ8I8UyWZMCrb42', 'recA4Hs3oeH6hrwwQ', 'recFCdbD0eXTT8Y9v', 'recEDkZr29h96OSDx', 'recYN8TSbYMraguzn', 'rec3Wv3kZeC1JzANo', 'recKvRip9KcaBXvb4', 'rec63Hp6MXiVTDuyL', 'recu3fyR7DI09XmFf', 'recLvTZAD0uveQy7e']"
"","University of Southern California,  (United States | California |  | Los Angeles |  | )","University of Southern California","['recdmzHJTksmBYBa6']","['recwBe8hiu6oCfSj3', 'recE4oygH7UVdW8Zk', 'recWWMSXcXTNKXBGO', 'recNPDyGmDu6IFlyb']"
"","School of High Studies in Social Science,  (France |  |  | Paris |  | )","School of High Studies in Social Science","['recaO8FXmzgUWmwxw']","['recsf1hEaCSYFDx7t']"
"","University of KwaZulul-Natal,  (South Africa |  |  | Pietermaritzburg |  | )","University of KwaZulul-Natal","['recD1fJpkbkjnc0L8']","['recsFwG3k4gnaUfg4', 'rec75Sy64BD9IFtch', 'recu3Fxr2L74WlAOm']"
"","Gamal Abdel Nasser University of Conakry,  (Guinea |  |  | Conakry |  | )","Gamal Abdel Nasser University of Conakry","['recmpMa4uQSkHkkeJ']","['recyJfeGH5VSRBGNI']"
"","University of Lisbon,  (Portugal |  |  | Lisbon |  | )","University of Lisbon","['recgls4djBp1PiqGS']","['recewYHGKWcAmrmd5', 'recn3HtvA80nAJ6aZ', 'recv5Bx69AHnr6MHM', 'recNIebVv4lXkl5Ur', 'recM1w3BuD3oexaBl']"
"","Connecticut College,  (Connecticut |  |  | New London |  | )","Connecticut College","['recjaF7bY1bZjFUpX']","['recs6L4nXQKm2jmdg']"
"","New York University,  (United States | New York |  | New York |  | )","New York University","['recRPTnrNPU6ArRJv']","['recbImVbiNKPV1xW3', 'recJ8p2t0lQjx8ct9', 'recOwDtmGUWN2hVAP']"
"","University of Washington,  (United States | Washington |  | Seattle |  | )","University of Washington","['reczq5TQlS8csAhf7']","['recq7NleVJ2YfiAmn']"
"","Leibniz University,  (Germany |  |  | Hanover |  | )","Leibniz University","['recWKP0SjrUssJFNd']","['recH9AXjlrbXTb4Mw']"
"","Carleton University,  (Canada | Ontario |  | Ottawa |  | )","Carleton University","['recv7RCING4azfbQX']","['recvxy4fqErvtFv4c']"
"","Gallatin School of Individualized Study, New York University,  (United States | New York |  | New York |  | )","Gallatin School of Individualized Study, New York University","['recRPTnrNPU6ArRJv']","['rec28dNVArwXikfdz']"
"","The New School,  (United States | New York |  | New York |  | )","The New School","['recRPTnrNPU6ArRJv']","['recISmiOlySdntQtO', 'rec3lEAz7SGsNCcaA']"
"","Holland Park School,  (England |  |  | London |  | )","Holland Park School","['recR6YHhrfthZo5tS']","['recwlAWYSCa28KMco']"
"","Firhouse Community College,  (Ireland |  |  | Dublin |  | )","Firhouse Community College","['rechwHQC1CkaAoQku']","['recL1SJ5ZefhjSpeI']"
"","University of Tripoli,  (Libya |  |  | Tripoli |  | )","University of Tripoli","['recGzvi28WHwo7E7M']","['recF8JkZFnNP4WddZ']"
"","University of Galway,  (Ireland |  |  | Galway |  | )","University of Galway","['rec8tydm8bSLGWEQ9']","['rec01WB02gWxvfeWh']"
"","Maseno University,  (Kenya |  |  | Maseno |  | )","Maseno University","['recQAOy3ZQ14B8BCz']","['recy6WUqWE0J4p4iE']"
"","Zhejiang Normal School,  (China | Zhejiang |  | Jinhua |  | )","Zhejiang Normal School","['recVebxdtxuIsTupp']","['rechQR0lRqTjiFVzB']"
"","University of Johannesburg,  (South Africa |  |  | Johannesburg |  | )","University of Johannesburg","['recFjYFloIc1MhnAb']","['recQZag6E3VduZEBS', 'recv4ZJJYWzoWo3vG', 'recL9zlMdGXvx0zax']"
"","University of York,  (England |  |  | York |  | )","University of York","['rec7dB9O5Pwab8xkI']","['rec7DUuWngvVGyB9Y', 'recMJbRkmZ2nwfqOz']"
"","University of Cape Coast,  (Ghana |  |  | Cape Coast |  | )","University of Cape Coast","['recczj69e3i13HFrd']","['rec4p6KfUo53zVPFR', 'recVqnOi0HywoLIyk']"
"","University of Florida,  (United States | Florida |  | Gainsville |  | )","University of Florida","['recqv0vX0S0w9yl0B']","['recrPPR0FjygJLhXb']"
"","University of Coimbra,  (Portugal |  |  | Coimbra |  | )","University of Coimbra","['recoygByCsQbVyB3F']","['rec3XUmtDx55WLduu']"
"","University of Benin,  (Nigeria | Edo State |  | Benin |  | )","University of Benin","['recRB5jOVXatJNOup']","['recWO8UontqphRuSP']"
"","University of Strathclyde,  (Scotland |  |  | Glasgow |  | )","University of Strathclyde","['recRvpdBSno7RDhjZ']","['rec4XNmW2UiJwQzX2', 'reckVGZQXsRkmFlT3']"
"","Obafemi Awolowo University,  (Nigeria | Osun State |  | Ifẹ |  | )","Obafemi Awolowo University","['recxCgNihZkpMB06j']","['reckr0y5BGWusBJ9U', 'recC8LQV7GYFTUS5J', 'rec1JeTMv3BZNE67G']"
"","Oberlin College,  (United States | Ohio |  | Oberlin |  | )","Oberlin College","['recx8Txz2PkKjIFOT']","['recxqo52YFg2hRunZ']"
"","Clark University,  (United States | Massachusetts |  | Worcester |  | )","Clark University","['recbXdUAwvjXksMHL']","['recc3A5rneDSmqvl1']"
"","SUNY at Binghamton,  (United States | New York |  | Vestal |  | )","SUNY at Binghamton","['recsAUczw9GYn0iEi']","['rechnisudBOKxSsjt']"
"","University of Kinshasa,  (Democratic Republic of the Congo |  |  | Kinshasa |  | )","University of Kinshasa","['recwQ01YQyahePHuO']","['recso34mPei6OwExE', 'recoF7VBdVvceBbuk']"
"","Journalism School Congo,  (Republic of the Congo |  |  |  |  | )","Journalism School Congo","['recWluWF3YELhPpPM']","['recWi1dSiu5ScMXr7']"
"","University of Liège,  (Belgium |  |  | Liège |  | )","University of Liège","['reckrUOKHOfdsVdwX']","['recLNgEvxtcvSqH01', 'recOND6po0LYI3ptO']"
"","University of Arizona,  (United States | Arizona |  | Tucson |  | )","University of Arizona","['recfn1UBf3B7U17td']","['rec5ChEn8gHMFX2qS']"
"","London School of Economics and Political Science,  (England |  |  | London |  | )","London School of Economics and Political Science","['recR6YHhrfthZo5tS']","['recDQ76x0qBnGbsAj', 'rec1ApFsSrId6bLXJ', 'recS0a2kCJBAuZDMN']"
"","Farmington College,  (United States | Maine |  | Farmington |  | )","Farmington College","['recScuB3plgmNARJ8']","['reculTwkvt0DaVvXM']"
"","St. Joseph's College, Sasse,  (Cameroon |  |  | Buea |  | )","St. Joseph's College, Sasse","['recMxkDRfcGzghJNf']","['recnrnP7ENJZMnBpU']"
"","Queen's University,  (Canada | Ontario |  | Kingston |  | )","Queen's University","['recmJ0hKXJWoGzZxR']","['recLUyfVuMBXZ1e9V']"
"","Bowling Green State University,  (United States | Ohio |  | Bowling Green |  | )","Bowling Green State University","['recPwzQINMO2qVJd2']","['recQatsvhEBsfOn7G']"
"","York University,  (Canada | Ontario |  | Toronto |  | )","York University","['recJkiPQFxXP5QRvY']","['recNBTTbKfhNKZJ9r', 'recIVme7jVKAP8oFV', 'rec2MSBVEwUvh6AK3', 'reczVEkubd5xMajKK']"
"","University of Stirling,  (Scotland |  |  | Stirling |  | )","University of Stirling","['recwgBEv4cddY0wYJ']","['rec2kSjJCxbFzBRLs']"
"","McMaster University,  (Canada | Ontario |  | Hamilton |  | )","McMaster University","['recf6DqQqdI1OXkpR']","['recX9chJt9Svv7FGn']"
"","George Washington University,  (United States | District of Columbia |  | Washington |  | )","George Washington University","['recZ8nuD8yhiuQwZM']","['recjqN856riqAWVIf']"
"","City, University of London,  (England |  |  | London |  | )","City, University of London","['recR6YHhrfthZo5tS']","['recssPFGKjPhoIf8r']"
"","University of Buea,  (Cameroon |  |  | Buea |  | )","University of Buea","['recMxkDRfcGzghJNf']","['recfN6CAdgBSlx2kX']"
"","University of Illinois Urbana-Champaign,  (United States | Illinois |  | Champaign |  | , United States | Illinois |  | Urbana |  | )","University of Illinois Urbana-Champaign","['reca4SZTUHubUdMU5', 'recIkTnE6Mh0Xvdvr']","['recUX86bTbV01dHzu']"
"","Bobi Full Primary School,  (Uganda |  |  |  |  | )","Bobi Full Primary School","['recpwEMoRIMSpTu7Q']","['recbAutVz3iI3Ghel']"
"","Gulu High School,  (Uganda |  |  | Gulu |  | )","Gulu High School","['reca5K3lGhSrUi9nk']","['recVVP4OmXwI0zwii']"
"","Sir Samuel Baker Secondary School,  (Uganda |  |  | Gulu |  | )","Sir Samuel Baker Secondary School","['reca5K3lGhSrUi9nk']","['rec6Yhtka2QrdC0mf']"
"","National Teacher's College,  (Uganda |  |  | Unyama |  | )","National Teacher's College","['receICdAAMGSy80w9']","['recjCtwjmKQC50hk9']"
"","Knoxville College,  (United States | Tennessee |  | Knoxville |  | )","Knoxville College","['receWEMI2kPVBPNTG']","['reckqR3jFgQ9N6RBN']"
"","National University of Zaire,  (Republic of the Congo |  |  |  |  | )","National University of Zaire","['recWluWF3YELhPpPM']","['recXyzhLrFPpIt2Tx']"
"","Paris Dauphine University,  (France |  |  | Paris |  | )","Paris Dauphine University","['recaO8FXmzgUWmwxw']","['recujQqObyaYzaWj3']"
"","Lycée Karl Marx,  (Congo |  |  | Pointe-Noire |  | )","Lycée Karl Marx","['recVLkSpmC4UH98pf']","['recLrKSiQXw6XaeZC']"
"","College of Literature and Humanities,  (Morocco |  |  | Rabat |  | )","College of Literature and Humanities","['recI0VJs62sk4IN76']","['rec0jqjxM6drObtyS']"
"","University of Oslo,  (Norway |  |  | Oslo |  | )","University of Oslo","['rec0oBzpMWeXGWRfo']","['recWVB3W3ugWjZKRM']"
"","University of East Anglia,  (England |  |  | Norwich  |  | )","University of East Anglia","['rec2JfTOVESjOEX3T']","['recNuvTFJ5PotCaTo', 'rec77VVzHuh7Zqd51', 'recXFg2giGrs5HjcN', 'rec1FNDuz0iMXYELU']"
"","International School,  (Canada |  |  | Montreal |  | )","International School","['recsk9Exfn7woMpuy']","['recIoAOaOQyskNX1i']"
"","Queen Mary University of London,  (England |  |  | London |  | )","Queen Mary University of London","['recR6YHhrfthZo5tS']","['recJf8StnCMtI7hH1']"
"","King's College London,  (England |  |  | London |  | )","King's College London","['recR6YHhrfthZo5tS']","['recvAQWvofuv7g0eH']"
"","School for Advanced Studies in the Social Sciences,  (France |  |  | Paris |  | )","School for Advanced Studies in the Social Sciences","['recaO8FXmzgUWmwxw']","['reclYfEjUKvyNSION', 'recHaYg8tC3LyMl04']"
"","McGill University,  (Canada |  |  | Montreal |  | )","McGill University","['recsk9Exfn7woMpuy']","['recGNyIm9VMAU9BJs']"
"","Maryville College,  (United States | Tennessee |  | Maryville |  | )","Maryville College","['recCr7LITNyTZviaY']","['recRyZOdkUOskPjJ6']"
"","St. Lawrence University,  (United States | New York |  | Canton |  | )","St. Lawrence University","['recEv9qil5gzqBhik']","['recxS6S5dpGFfAZKR']"
"","KwaZulu-Natal Sign Language Academy,  (South Africa |  |  | KwaZulu-Natal |  | )","KwaZulu-Natal Sign Language Academy","['reckyxi4BnnhhZ5nF']","['recDIHdngcEZTI7rN']"
"","S A Council For Social Service Professions,  (South Africa |  |  | Pretoria |  | )","S A Council For Social Service Professions","['rec12WNOPdXXeSa9Y']","['recfuo8yZFKmcH2bX']"
"","Cairo University,  (Egypt |  |  | Giza |  | )","Cairo University","['recKKR6ILRZV9tvgI']","['recA3QRUZ3nEWmulK', 'recNR4X3csfbeknsd', 'rec1RSdLFyAQ1rpQP', 'recfaBSlOeGPxUQP1', 'recCW18E1WOwORKcF', 'rec2uXnf6hCv7ibmc', 'rec8MkAbqzLr7kqaQ', 'recc86xYQFpPThWct', 'recy2QM3AP3czWtWM', 'recEk4exD1EhlYA6T', 'recvjxJrYtFidfgSr']"
"","Manchester Metropolitan University,  ()","Manchester Metropolitan University","",""
"","Manchester Metropolitan University,  (England |  |  | Manchester |  | )","Manchester Metropolitan University","['recFsn8RVfhGPlVDL']","['recJ9D68XIJ1zug1T', 'recvTXryc4g7ur7VK']"
"","Johann Wolfgang Goethe University,  (Germay |  |  | Frankfurt |  | )","Johann Wolfgang Goethe University","['recnRnUqLhix8sEcy']","['recxDFJSDdymWPnOC']"
"","University of Frankfurt,  (Germay |  |  | Frankfurt |  | )","University of Frankfurt","['recnRnUqLhix8sEcy']","['recoQuO1M8UDPQmCW']"
"","Boston University,  (United States | Massachusetts |  | Boston |  | )","Boston University","['reck7rbt8DZuwaZSO']","['rec3O6wlGmBNrPctD', 'rec7LKH1Ri7uPCnaw']"
"","Albright College,  (United States | Pennsylvania |  | Reading |  | )","Albright College","['rec1QOoXD0p8a6sZT']","['recCN8OYZC4IHq8nA']"
"","University of Amsterdam,  (Netherlands |  |  | Amsterdam |  | )","University of Amsterdam","['recPpOUCWKa5TQtDi']","['rec1oqRSpqCpxRq3E']"
"","University Of Jos,  (Nigeria |  |  | Jos |  | )","University Of Jos","['recd7H47Ro360PHtV']","['recmOx098MADXfo9O', 'rechBbVPhZyebEHJD', 'recgM5JwGOuoepS0X']"
"","Washington University in St. Louis,  (United States | Missouri |  | St. Louis |  | )","Washington University in St. Louis","['recbIpbmo6LLdlz2m']","['rec8y807gmGP6NG0i']"
"","Saint Louis University,  (United States | Missouri |  | St. Louis |  | )","Saint Louis University","['recbIpbmo6LLdlz2m']","['recEq15WC7vwc8mnb']"
"","University of Nigeria, Nsukka,  (Nigeria |  |  | Nsukka |  | )","University of Nigeria, Nsukka","['recIAhp8R3p81y30Y']","['recLctaA4brG2H0RE', 'recJ7HDrJBRqNfkxt', 'recifoh5W3ovY75Sd']"
"","Syracuse University,  (United States | New York |  |  |  | Syracuse)","Syracuse University","['recaGFyG6k68gqIW2']","['recct5ebejc7MgDow', 'recjj2O23WUBhnL9w', 'recSPB5YGKSKahaS5']"
"","Otterbein University,  (United States | Ohio |  | Westerville |  | )","Otterbein University","['reckecUUoW8tGXohA']","['recd1HsCwNXdnC0hq']"
"","University of Maiduguri,  (Nigeria | Borno State |  | Maiduguri |  | )","University of Maiduguri","['recq92f0Gyd4GnR0y']","['recgAdJveylQ2BBQ2']"
"","University of Alberta,  (Canada | Alberta |  | Edmonton |  | )","University of Alberta","['rec5XqnuNdga91Cg5']","['rec0R5DMKy6Qf7pKv', 'rec7SnvUARexk1iVJ', 'rec6Yp6su9mdkbcaQ']"
"","Birkbeck, University of London,  (England |  |  | London |  | )","Birkbeck, University of London","['recR6YHhrfthZo5tS']","['recTNvfiUbqgTGRvb', 'recibWizXbLBmkx8x']"
"","London Metropolitan University,  (England |  |  | London |  | )","London Metropolitan University","['recR6YHhrfthZo5tS']","['recGQ5nM8wZO6nZbZ']"
"","Northeastern Illinois University,  (United States | Illinois |  | Chicago |  | )","Northeastern Illinois University","['rec9dvgEMKytPyiLc']","['recJ79jL2yF30bWmU']"
"","Northern Illinois University,  (United States | Illinois |  | DeKalb |  | )","Northern Illinois University","['recGhl3hJWE8V2FzC']","['recWWbZXwgBFwkVna']"
"","Texas Southern University,  (United States | Texas |  | Houston |  | )","Texas Southern University","['rec2t6egBmKL6jaKI']","['recMyEA95DqVSUvG9']"
"","American University,  (United States | District of Columbia |  | Washington |  | )","American University","['recZ8nuD8yhiuQwZM']","['recN4xzgI3SGjRXTq']"
"","University of Liberia,  (Liberia |  |  | Monrovia |  | )","University of Liberia","['recs28ztw1GERO7vI']","['rectiHAhNpLKIHCaf']"
"","Western Michigan University,  (United States | Michigan |  | Kalamazoo |  | )","Western Michigan University","['reckgtPvEY0Eb6W6W']","['recXIjwasa6uuHbgK']"
"","Riverlea High School,  (South Africa |  |  | Johannesburg |  | )","Riverlea High School","['recFjYFloIc1MhnAb']","['recCiUAi29nNw7xcO']"
"","Bayero University, Kano,  (Nigeria |  |  | Kano |  | )","Bayero University, Kano","['recKARP10mRo7InO0']","['recD8baTJ4Kcqjz3S']"
"","International Institute of Journalism, Berlin,  (Germany |  |  | Berlin |  | )","International Institute of Journalism, Berlin","['rec1WUPFOY7FKcIPj']","['recwkub4QQzhX6XzM']"
"","Midlands Psychiatric Nursing College ,  (United States | Nebraska |  | Fremont |  | )","Midlands Psychiatric Nursing College ","['recNlg9vn5Cb0MyXP']","['recWkARnqeeO04EeO']"
"","Edenvale College of Nursing,  (South Africa |  |  | Edenvale |  | )","Edenvale College of Nursing","['recMvS8Tl2EsWIRxx']","['recFNhlSqu5prNWpN']"
"","London South Bank University,  (England |  |  | London |  | )","London South Bank University","['recR6YHhrfthZo5tS']","['recd7QSGHagta0RBk', 'recGM7vRRf44e5yTZ']"
"","University of Burgandy,  (France |  |  | Dijon |  | )","University of Burgandy","['recS7eVfVtRGWGqIz']","['recYQSA3thSy6rTUP']"
"","University of Havana,  (Cuba |  |  | Havana |  | )","University of Havana","['recRQNXOAo5VxhIwf']","['recuBeYfnPjHbi6as']"
"","Autonomous University of Madrid,  (Spain |  |  | Madrid |  | )","Autonomous University of Madrid","['recoSYMQenVhN6yZx']","['recoUf2AZPCbAqDP5']"
"","Universidad de Oriente,  (Cuba |  |  | Santiago de Cuba |  | )","Universidad de Oriente","['recYdRenkHvp2vN4S']","['recS6dBGejwZf1ECE']"
"","University of Derby Buxton,  (England |  |  | Buxton |  | )","University of Derby Buxton","['recAeUBeMGoSDdxff']","['rec5BlQ5npCEswCWm']"
"","University of Dundee,  (Scotland |  |  | Dundee |  | )","University of Dundee","['recQKdCHnHtQRefix']","['recafcpfmYpkcvckh']"
"","Universidad Pedagógica Rafael María de mendive,  (Cuba | Pinar del Rio |  | Pinar del Rio |  | )","Universidad Pedagógica Rafael María de mendive","['recsjdlZhWhE4fZRq']","['rectpsR44ragmBs64']"
"","Lovanium University,  (Democratic Republic of the Congo |  |  | Kinshasa |  | )","Lovanium University","['recwQ01YQyahePHuO']","['rec9FJJIQ63nJWXxS']"
"","Unknown University,  ()","Unknown University","","['recCxUhJEU3D5I80h', 'reci164llIul33XCz', 'reccjBP7LerEYFSpx', 'recaHPzQeWP6UeOR3', 'rectWc2Ody3jRVUui', 'recQfPHAmuoYSpETo', 'recdsRwVPTCM22kgt', 'rect1xquKZXhv7IhC', 'rec4NjHsAAKHEgCHL']"
"","University of Algiers,  (Algeria |  |  | Algiers |  | )","University of Algiers","['rec1xjUfqFvAT0vUG']","['recA3Z1UDEZEnSMTH', 'recMOdwxq2lUpBAKk', 'recNJnOlIsIQCi6Pk']"
"","Paris Institute of Political Studies,  (France |  |  | Paris |  | )","Paris Institute of Political Studies","['recaO8FXmzgUWmwxw']","['reczftAjPPOcw8QCk']"
"","Mohammed V University,  (Morocco |  |  | Rabat |  | )","Mohammed V University","['recI0VJs62sk4IN76']","['reczztWnpvSxtmJqw']"
"","University of Westminster,  (England |  |  | London |  | )","University of Westminster","['recR6YHhrfthZo5tS']","['reckKGe2cUIGyeUe1', 'recz1bEm4PXuPRPJl']"
"","Cape Peninsula University of Technology,  (South Africa |  |  | Cape Town |  | )","Cape Peninsula University of Technology","['recByKWBNYTnFNrCp']","['recINNDFDKOY2Vxwz']"
"","University of Nottingham,  (England |  |  | Nottingham |  | )","University of Nottingham","['recsaIJyqIBXaJlIR']","['recYXM35NPkikjp1u']"
"","University of Botswana,  (Botswana |  |  | Gaborone |  | )","University of Botswana","['recrw5MQxCj5XfvjI']","['recIRiyoAgOpeo0oQ', 'recYjwZ1kG72e9TEA', 'recqMbFPbxbhmtxRp']"
"","Al Mansoura University,  (Egypt |  |  | Mansoura |  | )","Al Mansoura University","['rec6jmCZ4TCxruxrD']","['recx8P5VW0z9vMGWE']"
"","Middle Temple Inns of Court,  (England |  |  | London |  | )","Middle Temple Inns of Court","['recR6YHhrfthZo5tS']","['rec745Fkl7U8gBjQy']"
"","London University, Premier School of Journalism and Authorship,  (England |  |  | London |  | )","London University, Premier School of Journalism and Authorship","['recR6YHhrfthZo5tS']","['recYf2V9neozM773B']"
"","Ain Shams University,  (Egypt |  |  | Cairo |  | )","Ain Shams University","['recFtYlvGypMsvfE8']","['reclGV5pgMdTArzZg', 'recqVviHNydFkcWmJ', 'recwdoetcfkXnP66d', 'rec3qJiFrJLVpXJcO', 'recpJvHVr77xFkrAg']"
"","Major Seminary St. Paul,  ()","Major Seminary St. Paul","","['recZG9dPMSEH3qnzr']"
"","Institute P. Canisius Kinshasa,  (Democratic Republic of the Congo |  |  | Kinshasa |  | )","Institute P. Canisius Kinshasa","['recwQ01YQyahePHuO']","['recY0y0Lb0gITt0YY']"
"","Gregorian University,  (Italy |  |  | Rome |  | )","Gregorian University","['recnUdEkfwni0vPqx']","['reckf8VPsiNtr8aUx']"
"","Temple University,  (United States | Pennsylvania |  | Philadelphia |  | )","Temple University","['rec02jMWfhiXHmOM3']","['recAUDJQYSMchiBJa', 'recoYCWsLxjOXotKa']"
"","Imo State University,  (Nigeria |  |  | Owerri |  | )","Imo State University","['recEmikBYGRlf7ER5']","['recMvQmOVo5wIh4Vb', 'recpa0jXXVEisOEBx']"
"","Red River College Polytechnic,  (Canada | Manitoba |  | Winnipeg |  | )","Red River College Polytechnic","['reczOCEMfaeSEkwNk']","['recxx3S0ACmxBKqEz']"
"","University of Hull,  ( | England |  | Hull |  | )","University of Hull","['recuaC4ixCvjISM8r']","['recVNxeBDgZZvp2C8']"
"","Addis Ababa University,  (Ethiopia |  |  | Addis Ababa |  | )","Addis Ababa University","['rec0QO1Otb4FGgHG5']","['reckg7aOVpoZW5uLc', 'recjpkCRDMAQhxs6i', 'recdYjiwXvWEmu4sk']"
"","Sapienza University of Rome,  (Italy |  |  | Rome |  | )","Sapienza University of Rome","['recnUdEkfwni0vPqx']","['recOFjKRS0o60P5xO']"
"","Assiut University,  (Egypt |  |  | Assiut |  | )","Assiut University","['recsZ89x0wKQk8Ei0']","['rec85ZsgbESohEb2o']"
"","Karaouine University,  (Morocco |  |  | Fes |  | )","Karaouine University","['recXPSRzzsfuMP2Vx']","['recChN1Bg4LHS9qoI']"
"","University Paris 8,  (France |  |  | Saint-Denis |  | )","University Paris 8","['rectAg2BmNu5L19cl']","['recJvg8dwNm4qfnYA']"
"","Lumière University Lyon 2,  ()","Lumière University Lyon 2","","['rec9otbfTK6VT07RP']"
"","Lecoq International School of Theatre,  ()","Lecoq International School of Theatre","","['recXS5RX7dmu6UT1Z']"
"","University of Winchester, King Alfred Campus,  (England |  |  | Winchester |  | )","University of Winchester, King Alfred Campus","['recYTHflhJHQgXBke']","['reciarq07GEBnhJ10']"
"","Universidad Complutense de Madrid,  (Spain |  |  | Madrid |  | )","Universidad Complutense de Madrid","['recoSYMQenVhN6yZx']","['recTl84xbq1SdKY8i']"
"","University of Akron,  (Ohio |  |  | Akron |  | )","University of Akron","['recZ38JUfzqsEmH7j']","['recJIASMynw0ETgYz']"
"","Sidi Mohamed Ben Abdellah University,  (Morocco |  |  | Fes |  | )","Sidi Mohamed Ben Abdellah University","['recXPSRzzsfuMP2Vx']","['rechU3ifASRD3KDLW']"
"","Constantine 1 University,  (Algeria |  |  | Constantine |  | )","Constantine 1 University","['recU0NlKFG4meCztw']","['rec45scEjxqWjstcm']"
"","Institute of Agricultural Studies,  ()","Institute of Agricultural Studies","","['recVBr0ILVTP9pFFM']"
"","Higher Institute of Folkloric Art,  (Egypt |  |  | Cairo |  | )","Higher Institute of Folkloric Art","['recFtYlvGypMsvfE8']","['recVBr0ILVTP9pFFM']"
"","Morgan State University,  (United States | Maryland |  | Baltimore |  | )","Morgan State University","['rec7yvFgJcoUWUJZG']","['rec4pIBvAp6jPFPPE']"
"","Johns Hopkins University School of Advanced International Studies (SAIS),  (United States | District of Columbia |  | Washington |  | )","Johns Hopkins University School of Advanced International Studies (SAIS)","['recZ8nuD8yhiuQwZM']","['reczSSZDoQttMKkkF']"
"","Institute of Political Sciences,  (France |  |  | Grenoble |  | )","Institute of Political Sciences","['recH6DQs8jO7CUvMR']","['recKj1yDqxmBO5xF1']"
"","Professional Training Center for Journalism,  (France |  |  | Paris |  | )","Professional Training Center for Journalism","['recaO8FXmzgUWmwxw']","['recWIW7ihvWUs55kI']"
"","American University of Cairo,  (Egypt |  |  | Cairo |  | )","American University of Cairo","['recFtYlvGypMsvfE8']","['recJQGlu3cN0xhlLa', 'recaTHWmK4QtEgGvG']"
"","Jackson State University,  (Mississippi |  |  | Jackson |  | )","Jackson State University","['recQwdfgETYeakETJ']","['recFv2SSQfAF03hCP']"
"","Oxford Brookes University,  (England |  | Oxfordshire | Oxford |  | )","Oxford Brookes University","['recZw13lsI65j01ma']","['rec5PJfdYc7Kxdxuz']"
"","Northcentral University,  ()","Northcentral University","","['rec9q5KqnIIgrnfUs']"
