"airtableID","Id","[person]","[universities]","Year ended","Graduated","Degree","Complete"
"recTLVpnvHbC6WCs2","""École Normale de Katibougou,  (Mali |  |  | Katibougou |  |  |)""","['recce49CVohdYLw2s']","['recG4dS6Wiu4K8UBv']"," - ","","[unknown]",""
"recT1fyIWmS0IWXGX","""University of the Witwatersrand,  (South Africa |  |  | Johannesburg |  |  |)""","['recBJcbdVcUytCiWZ']","['rec7mDWKcXSN0q9p0']","1970","True","[unknown]",""
"recTa2h1yrQ6jQmPd","""University of Bordeaux,  (France |  |  | Bordeaux |  |  |)""","['recWzBkkqbZTCLuTq']","['reccHWEEvoEBozrVG']","1964","True","Bachelors","True"
"recUf8deWeaJLegSC","""Brown Univeristy,  (United States | Rhode Island |  | Providence |  |  |)""","['rechCmMdNpei8Hc3B']","['recEOeYkvtqF6XibF']","1987","True","PhD",""
"recVgdxhtz0PnD9Wl","""University of Ibadan,  (Nigeria |  |  | Ibadan |  |  |)""","['recmFLKhxO7oJeQEe']","['reclpHNGTKzlJ6PFd']","1965","True","[unknown]",""
"recVnYTouCgurqf20","""Univeristy of Malawi
,  (Malawi |  |  | Zomba |  |  |)""","['recURRbIgveOeoPqf']","['recLCXrfsIZcWDys6']"," - ","","BA
",""
"recVrO7MEnBEwE2Ho","""Massachusetts Institute of Technology
,  (United States | Massachusetts |  | Cambridge |  |  |)""","['recLTfg4s1V8DoHZC']","['rech58muDl0CYb53E']","1967","True","BS
",""
"recVOYbInHS4lgS70","""University College of Ghana
,  (Ghana |  |  | Accra |  |  |)""","['rec7oRG8Jb3zFiSYI']","['recWTYOjdE4iyvqWj']","1964","True","BA",""
"recWn8a9j25bPzxCj","""Oriel College,  (England |  | Oxfordshire | Oxford |  |  |)""","['recX3e6HGV46vJgzl']","['recmfRi39g7JmO1Dc']","1942","True","[unknown]",""
"recXtpBeZi1r4dWRP","""Rhodes University,  (South Africa |  |  | Grahamstown |  |  |)""","['rec4PSLJqOJn0gY2R']","['recG8TKvilamMpoB8']"," - ","","[unknown]",""
"recXWRbvnew3qVExx","""Essex University,  (England |  |  | Essex |  |  |)""","['recRIfDTZDIHzLGPC']","['recgMuKrIXoVe1EPp']"," - ",""," - ",""
"recYHRKJj2KRbWwYZ","""Yale University
,  (United States | Connecticut |  | New Haven |  |  |)""","['rechCmMdNpei8Hc3B']","['reczoprATwGTQDiGC']","1982","True","MA
",""
"recYyER83U0tclynk","""University of Cape Town,  (South Africa |  |  | Cape Town |  |  |)""","['rec7pcqq0K5J5hgiJ']","['recmFvtzUMqaFmOoC']","1949","True","BA",""
"recYBIGUbwCHaPIws","""University of Zambia
,  (Zambia |  |  | Lusaka |  |  |)""","['rechCmMdNpei8Hc3B']","['recCbZxP6zua5eb6N']","1976","True","BA
",""
"recY9oGcOfhyc0NK7","""Princeton University,  (United States | New Jersey |  | Princeton |  |  |)""","['recmyildMjXhoC72X']","['receUXSEfNPKkQVsK']"," - ",""," - ",""
"recZeIKWqRFksdaWV","""University of Leeds,  (England |  |  | Leeds |  |  |)""","['recFI0UKub8dFqzKy']","['rec571VzGkER6dg0n']"," - ","","[unknown]",""
"recZhsEKWcjTtZjTP","""University of Paris,  (France |  |  | Paris |  |  |)""","['recBdxaNWIHd4zhkg']","['recf8tVNTzQKnq93d']","1935","True","[unknown]",""
"recZ5IBalie8vKlHB","""Ecole Normale William-Ponty,  (Senegal |  |  | Kolda |  |  |)""","['rec11TfWLtdgg0lSe']","['recWQci3ZaBGmSzj8']","1936","True","[unknown]",""
"rec0it5fj2hVjHlHK","""University of Eastern Africa,  (Kenya |  | Nandi County | Kapsabet |  |  |)""","['recDGBtNDeMgPckHj']","['reclXkR5WWqI1ZHXO']"," - ","True","[unknown]",""
"rec0SninRo1ztu4L0","""University of Limpopo,  (South Africa | Limpopo |  | Mankweng |  |  |)""","['rec67UXWcSQoH1N7i']","['rec3tGPsSMuQPpbcr']"," - ","True","[unknown]",""
"rec1iHMSzdlLBPQic","""University of the Witwatersrand,  (South Africa |  |  | Johannesburg |  |  |)""","['recaLBDKPomp4cstB']","['rec7mDWKcXSN0q9p0']","1947","True","[unknown]",""
"rec2ERDLACJKsm5Bl","""University of Stellenbosch,  (South Africa |  |  | Stellenbosch |  |  |)""","['recuORZit1m0m3GHg']","['rece1L9bl6kn7HZTA']","1931","True","[unknown]",""
"rec2PLP1vZIaQW2tb","""Brunel University,  (England |  |  | London |  |  |)""","['recPgm4Uyjhs03RyH']","['recYaOlJM5DpNYcP7']","1985","True","MFA",""
"rec3DchXS2z9tKwJy","""University of Zimbabwe,  (Zimbabwe |  |  | Harare |  |  |)""","['recO9FKEa52lghKi9']","['reco8l8xeKCuC2hFK']"," - ","True","[unknown]",""
"rec3tU26pFhfIzWq4","""University of Ibadan,  (Nigeria |  |  | Ibadan |  |  |)""","['recmyildMjXhoC72X']","['reclpHNGTKzlJ6PFd']","1960","True","[unknown]",""
"rec3SozAkTnBBD9gV","""University of Natal,  (South Africa |  |  | Natal |  |  |)""","['recrAaXXhIPMbulnW']","['recM11VAW2fWzPDKL']"," - ",""," - ",""
"rec3bN6h4RzKwzRxn","""University of Cape Town,  (South Africa |  |  | Cape Town |  |  |)""","['rec9NVjOrXGIXxw9F']","['recmFvtzUMqaFmOoC']","1952","True","BA","True"
"rec4l7Ilv1RS5WqIG","""Hilton College
,  (South Africa |  |  | Natal |  |  |)""","['recyTF3ighE5lXHsa']","['recKjD2SoudumO98D']"," - ","","BA
",""
"rec4o9kKOE3EYCgMB","""Pratt Institute
,  (United States | New York |  | New York |  |  |)""","['recPgm4Uyjhs03RyH']","['recBMgdohHJJCZtGL']","1977","True","MFA
",""
"rec4xH2UmPvWvSFwJ","""Glasgow University,  (Scotland |  |  |  |  |  |)""","['reclkjf5RAoQfCuhd']","['recsKmRMtKGlmvhHf']","1968","True","[unknown]",""
"rec5yhwc0Oyhzy4gF","""Oxford University,  (England |  | Oxfordshire | Oxford |  |  |)""","['recOcLoIZSFwMOqfm']","['rec4dAhXgzgV2Nb1Z']"," - ","","MA",""
"rec622mllKxQJ4lCq","""Northwestern University,  (United States | Illinois |  | Evanston |  |  |)""","['recUiPx4caoRhWvaM']","['recft4oHotrLS0QsH']","1949","True","[unknown]",""
"rec8eryL1BLX3aArq","""Rhodes University,  (South Africa |  |  | Grahamstown |  |  |)""","['recXocQrPdKiutDsX']","['recG8TKvilamMpoB8']","1960","True","[unknown]",""
"rec8QdOVleXSaKQoL","""University of Ibadan,  (Nigeria |  |  | Ibadan |  |  |)""","['recP34XkRR1kXmqdp']","['reclpHNGTKzlJ6PFd']","1970","True","[unknown]",""
"rec83v3sYnhv18qJq","""University of Pretoria,  (South Africa |  |  | Pretoria |  |  |)""","['rectR28bCv8ff49mc']","['rec82mxfVvJ2Bp1SX']","1976","True","MA",""
"rec86wdnnLfcXf5xc","""Oxford University,  (England |  | Oxfordshire | Oxford |  |  |)""","['reczY4HgBRDaqL1fV']","['rec4dAhXgzgV2Nb1Z']"," - ","","[unknown]",""
"rec9piOtkCadg0ZnE","""Cornell University
,  (United States | New York |  | Ithaca |  |  |)""","['recZoWYIG4TUSm4dg']","['recAYV8Mv6DlMEPt2']","1963","True","MA
",""
"reclmNdySFgDctIWZ","""Magdalen College,  (England |  | Oxfordshire | Oxford |  |  |)""","['recyw3iYZDrBScLGY']","['recSahzOwhsCaEt1h']","1953","True","[unknown]",""
"reclmTHeLUDRkKoIA","""University of Cape Town,  (South Africa |  |  | Cape Town |  |  |)""","['recOcLoIZSFwMOqfm']","['recmFvtzUMqaFmOoC']","1964","True","BA",""
"recl9cdJFmLfzaLRx","""Magdalen College,  (England |  | Oxfordshire | Oxford |  |  |)""","['recNDLiL9FcG6VMnQ']","['recSahzOwhsCaEt1h']"," - ","","[unknown]",""
"recmJqE8qwyOJ6OAr","""University of Ibadan,  (Nigeria |  |  | Ibadan |  |  |)""","['recZoWYIG4TUSm4dg']","['reclpHNGTKzlJ6PFd']","1960","True","BA",""
"recmZKr4ThXBRqk6y","""North-West University,  (South Africa |  |  | Potchefstroom |  |  |)""","['recLJKB5F9CohOTgc']","['recaIQK9G0k1j2KN1']","1937","True","[unknown]",""
"recm0ihtCpDolZhmE","""Howard University
,  (United States | District of Columbia |  | Washington |  |  |)""","['recGE7Fcz5oCLV3Qn']","['reckhhQev5s7FQh1G']","1968","True","BA
",""
"recoyQtr3quLTb13L","""University of Rhodesia,  (Zimbabwe |  |  | Harare |  |  |)""","['rec6AGwjH7PImbAAF']","['rec1JTP1il8NyQldy']","1973",""," - ",""
"recpBM3VNEzqi29Rq","""SUNY at Stony Brook,  (United States | New York |  | New York |  |  |)""","['recw6xteDA4loPFr8']","['rec8ZZC75PKfSknwR']","1972","True","PhD",""
"recp7ZXL48es4sBOe","""University College London,  (England |  |  | London |  |  |)""","['recURRbIgveOeoPqf']","['recZDrWl4hRL6BX1D']","1983","True","PhD",""
"recqCRuWe0Kn74kUP","""University of Cape Town,  (South Africa |  |  | Cape Town |  |  |)""","['recri8nQBWiBukd4s']","['recmFvtzUMqaFmOoC']"," - ","","[unknown]",""
"recqGT76XUUGbaBo4","""University of Fort Hare,  (South Africa | Eastern Cape |  | Alice |  |  |)""","['recBIvEPMfSnuke1H']","['recX6WJVR4LmR7ZYu']","1973",""," - ",""
"recqpwJgxRopGEnOc","""University of Zululand,  (South Africa |  |  | Natal |  |  |)""","['recO7fQ9N6fKpWsLF']","['reckwS53DxJW2VHxL']"," - ","","[unknown]",""
"recqSCI6VFws1C1K6","""University College of Ghana
,  (Ghana |  |  | Accra |  |  |)""","['recw6xteDA4loPFr8']","['recWTYOjdE4iyvqWj']","1960","True","BA
",""
"recrdwpSz30VSbKpD","""University of South Africa,  (South Africa |  |  | Pretoria |  |  |)""","['recA1aXEUqGwSRQhI']","['recGqSSihJtYd3SZ5']","1947","True","Honorary",""
"recsk26efavENfiRY","""Pretoria Normal College,  (South Africa |  |  | Pretoria |  |  |)""","['rec5BGwLzTuFn1Wef']","['recjAikPFs9Izr44v']","1960","True","[unknown]",""
"recsXoYV6ngkfmSsO","""University of Stellenbosch,  (South Africa |  |  | Stellenbosch |  |  |)""","['recu43DbrUayW9AhJ']","['rece1L9bl6kn7HZTA']","1936","True","[unknown]",""
"recs6yVnN2NVa7FcK","""Cuddesdon Theological College ,  (England |  | Oxfordshire | Oxford |  |  |)""","['recHqhKMTrYFElsxy']","['recpniATJZ2xxXDxk']","1893","True","[Unknown]",""
"rectpwjRmih4gwScH","""University of Cape Town,  (South Africa |  |  | Cape Town |  |  |)""","['recEadpRGDKvzNbBc']","['recmFvtzUMqaFmOoC']"," - ","","[unknown]",""
"recuHHSD6MT3iggBe","""Trinity College,  (England |  | Cambridgeshire | Cambridge |  |  |)""","['recHqhKMTrYFElsxy']","['recqyrIflPNKodBo7']","1891","True","BA
",""
"recuyi5LmBgee9nOw","""University of Kent,  (England |  | Kent | Canterbury |  | Canterbury |)""","['rec6AGwjH7PImbAAF']","['recsEVCWVTSAhOiq8']","1978","True","Bachelors",""
"recu7fkdc595eLRBA","""University College London,  (England |  |  | London |  |  |)""","['recNk4oqSzYFgciSx']","['recZDrWl4hRL6BX1D']","1971","True","MA",""
"recvrcKAoo6bwGldF","""University of Kent,  (England |  | Kent | Canterbury |  | Canterbury |)""","['rec6AGwjH7PImbAAF']","['recsEVCWVTSAhOiq8']","1978","True","Masters of Arts (MA)",""
"recvzOac0ledXNDSJ","""Leiden University,  (Netherlands |  |  | Leiden |  |  |)""","['recIEuCEh4zUIwGmh']","['recShp0cHMGUHfNNo']"," - ","","[unknown]",""
"recwFiizhdfaE9noi","""Oxford University,  (England |  | Oxfordshire | Oxford |  |  |)""","['recHO9AeFrAOe1QdE']","['rec4dAhXgzgV2Nb1Z']"," - ","","[unknown]",""
"recwGx0pykmaCUk5k","""University of Durham,  (England |  |  | Durham |  |  |)""","['recoC0zs4dJb2YzGU']","['rec8skiHiDl504C6f']","1898","True","[unknown]",""
"recwefKTeVNX2zIbM","""Oxford University,  (England |  | Oxfordshire | Oxford |  |  |)""","['recjKvU9JG4GftnEK']","['rec4dAhXgzgV2Nb1Z']","1947","True","[unknown]",""
"recwXjw2jExLVXxbn","""University of the Witwatersrand,  (South Africa |  |  | Johannesburg |  |  |)""","['recILPJVJuPdNhbGD']","['rec7mDWKcXSN0q9p0']","1937","True","[unknown]",""
"recxHJLUuxzR3AbFd","""University of Natal,  (South Africa |  |  | Natal |  |  |)""","['recTWiV1axyEJr0fq']","['recM11VAW2fWzPDKL']","1922","True","[unknown]",""
"recx8HFcLMes4lleb","""Trinity College,  (England |  | Cambridgeshire | Cambridge |  |  |)""","['recHqhKMTrYFElsxy']","['recqyrIflPNKodBo7']","1897","True","MA
",""
"recxbQk85SrqUxz1k","""University of Texas, Austin,  (United States | Texas |  | Austin |  |  |)""","['rec9K8rwRHOdeLU5I']","['rec1UBjl9jop5IN3S']","1972","True","[unknown]",""
"","""University of Cape Town,  (South Africa |  |  | Cape Town |  |  |)""","['recXO2WiZ2k8Mqr6o']","['recmFvtzUMqaFmOoC']","1963","True","[unknown]",""
"","""University of the Witwatersrand,  (South Africa |  |  | Johannesburg |  |  |)""","['recRT3BRC72sBNfZo']","['rec7mDWKcXSN0q9p0']","1960","True","[unknown]",""
"","""University of Stellenbosch,  (South Africa |  |  | Stellenbosch |  |  |)""","['recZS4g43q5Io7CpK']","['rece1L9bl6kn7HZTA']"," - ","","[unknown]",""
"","""Indiana University,  (United States | Indiana |  | Bloomington |  |  |)""","['recW2LITFLTa3ZxhL']","['rec0EZZr4GahJUHGn']","1980","True","MA","True"
"","""University of Cape Town,  (South Africa |  |  | Cape Town |  |  |)""","['recbOU2C0aStT22I5']","['recmFvtzUMqaFmOoC']"," - ","","[unknown]",""
"","""University of Ibadan,  (Nigeria |  |  | Ibadan |  |  |)""","['recOo2kpeQuQEciaC']","['reclpHNGTKzlJ6PFd']","1953","True","BA","True"
"","""Yaba Higher College
,  (Nigeria |  |  | Lagos |  |  |)""","['recUiPx4caoRhWvaM']","['recGBxRAscKN1dM98']"," - ","","[unknown]
",""
"","""University of Ghana,  (Ghana |  |  |  |  |  |)""","['recW2LITFLTa3ZxhL']","['recgQwTy8MZ3hhgA6']"," - ","True","BA","True"
"","""University of Edinburgh,  (Scotland |  |  | Edinburgh |  |  |)""","['recjcqo5Xbuadsw29']","['reciXy4sN3jGCQAuj']","1811","True","[unknown]",""
"","""University of Cape Town,  (South Africa |  |  | Cape Town |  |  |)""","['rec9K8rwRHOdeLU5I']","['recmFvtzUMqaFmOoC']","1960","True","[unknown]",""
"","""University of Natal,  (South Africa |  |  | Natal |  |  |)""","['rec7C07UyBGMs8tw8']","['recM11VAW2fWzPDKL']","1959","True","BA",""
"","""Jesus College,  (England |  | Oxfordshire | Oxford |  |  |)""","['recyTF3ighE5lXHsa']","['rec5j91R5HXY0ErGF']","1955","True","MA",""
"","""University of Natal,  (South Africa |  |  | Natal |  |  |)""","['reczJCspFdg3hHW9B']","['recM11VAW2fWzPDKL']","1963","True","[unknown]",""
"","""Univeristy of Natal,  (South Africa |  |  | Natal |  |  |)""","['recZCHkAMEtH7xn9G']","['recp2jQbPVTdfWEE6']","1954","True","honorary",""
"","""University of South Africa,  (South Africa |  |  | Pretoria |  |  |)""","['recsxiHf60mUiowcG']","['recGqSSihJtYd3SZ5']"," - ","","[none]",""
"","""University of Ibadan,  (Nigeria |  |  | Ibadan |  |  |)""","['recBvLFtelOVzL0YK']","['reclpHNGTKzlJ6PFd']","1956","True","[unknown]",""
"","""University of Ibadan,  (Nigeria |  |  | Ibadan |  |  |)""","['recIEuCEh4zUIwGmh']","['reclpHNGTKzlJ6PFd']","1963","True","[unknown]",""
"","""Columbia University,  (United States | New York |  | New York |  |  |)""","['recADnJms1RS8ueJD']","['rec63dqyzlDx5zdLd']","1979","True","[unknown]",""
"","""University of Iowa
,  (United States | Iowa |  | Iowa City |  |  |)""","['recGE7Fcz5oCLV3Qn']","['recmgkTcTsz9sZ4in']"," - ","","MFA",""
"","""University of Stellenbosch,  (South Africa |  |  | Stellenbosch |  |  |)""","['rech3QgHUlRA7jtQu']","['rece1L9bl6kn7HZTA']"," - ","","[unknown]",""
"","""Magdalen College,  (England |  | Oxfordshire | Oxford |  |  |)""","['rec7pcqq0K5J5hgiJ']","['recSahzOwhsCaEt1h']","1974","True","PhD",""
"","""University of Ibadan,  (Nigeria |  |  | Ibadan |  |  |)""","['recOo2kpeQuQEciaC']","['reclpHNGTKzlJ6PFd']","1953","True","[unknown]",""
"","""University of Ibadan,  (Nigeria |  |  | Ibadan |  |  |)""","['recF8QPJ15W1rJUCC']","['reclpHNGTKzlJ6PFd']"," - ","","[unknown]",""
"","""University of Rhodesia,  (Zimbabwe |  |  | Harare |  |  |)""","['rec27lGFoJpJNTgpi']","['rec1JTP1il8NyQldy']"," - ","","[unknown]",""
"","""University of Ibadan,  (Nigeria |  |  | Ibadan |  |  |)""","['rec3Bsu8YAwh3DvTn']","['reclpHNGTKzlJ6PFd']","1968","True","[unknown]",""
"","""University of Bristol
,  (England |  |  | Bristol |  |  |)""","['recHO9AeFrAOe1QdE']","['recmHZuIc40bjJ0M6']","1963","True","[unknown]
",""
"","""University of Natal,  (South Africa |  |  | Natal |  |  |)""","['receqlqqlevq2dKGL']","['recM11VAW2fWzPDKL']","1935","True","[unknown]",""
"","""Princeton University,  (United States | New Jersey |  | Princeton |  |  |)""","['reczY4HgBRDaqL1fV']","['receUXSEfNPKkQVsK']"," - ","","[unknown]",""
