ID,Name,Special Notes,Last Name,Given Name,Alternate Name,Country,Region,Source,Gender,Bibliography,Authority,Notes
ap.per.00177,Sandra A Mushi,*,Mushi,,,Tanzania,Eastern Africa,Index,F,,,
ap.per.00158,Phyllis Muthoni,*,Muthoni,,,Kenya,Eastern Africa,Index,F,,,
ap.per.00033,Ba’Bila Mutia,*,Mutia,,,Cameroon,Middle Africa,Index,M,,,
ap.per.00040,Nkulu-N’Sengha Mutombo,*,Mutombo,,,The Congo,Middle Africa,Index,M,,,
ap.per.00240,Khaled Muttawa,,Muttawa,,,Libya,Northern Africa,Anthology,,,,
ap.per.00193,Togara Muzanenhamo,,Muzanenhamo,,,Zimbabwe,Eastern Africa,Anthology,M,,,
ap.per.00220,Fatima Naaot,,Naaot,,,Egypt,Northern Africa,Anthology,,,,
ap.per.00278,Khaled Najar,*,Najar,,,Tunisia,Northern Africa,Index,,,,
ap.per.00250,Hassan Najmi,*,Najmi,,,Morocco,Northern Africa,Index,,,,—maybe “The War” with benefit of doubt
ap.per.00379,Mvula ya Nangolo,*,Nangolo,,,Namibia,Southern Africa,Index,,,,
ap.per.00056,Ciriaco Bokesa Napo,*,Napo,,,"Congo, Democratic Republic Of",Middle Africa,Index,M,,,
ap.per.00341,Charl-Pierre Naude,*,Naude,,,South Africa,Southern Africa,Index,,,,
ap.per.00073,Uche Nduka,,Nduka,,,Nigeria,Western Africa,Anthology,M,,,
ap.per.00211,Samira Negrouche,*,Negrouche,,,Algeria,Northern Africa,Index,,,,"doublecheck (w JohnK, Major will research)"
ap.per.00032,Frida Menkan Mbunda-Nekang,*,Nekang,,,Cameroon,Middle Africa,Index,F,,,
ap.per.00333,Gert Vlok Nel,*,Nel,,,South Africa,Southern Africa,Index,,,,
ap.per.00016,Patrice Nganang,,Nganang,,,Cameroon,Middle Africa,Anthology,M,,,
ap.per.00035,John Ngong Kum Ngong,*,Ngong,,,Cameroon,Middle Africa,Index,M,,,
ap.per.00152,Mukoma wa Ngugi,,Ngugi,,,Kenya,Eastern Africa,Anthology,M,,,
ap.per.00364,Siphiwe ka Ngwenya,*,Ngwenya,,,South Africa,Southern Africa,Index,,,,
ap.per.00337,Marlene van Niekerk,*,Niekerk,,,South Africa,Southern Africa,Index,,,,
ap.per.00148,Esther Nirina,*,Nirina,,,Kenya,Eastern Africa,Anthology,F,,, (if no suitable poem found for anthology)
ap.per.00251,Mostafa Nissabouri,*,Nissabouri,,,Morocco,Northern Africa,Index,,,,
ap.per.00036,Marcel Njanke,*,Njanke,,,Cameroon,Middle Africa,Index,M,,,
ap.per.00048,Mutombo Nkulu,,Nkulu,,,"Congo, Democratic Republic Of",Middle Africa,Anthology,M,,,
ap.per.00070,amu nnadi,,nnadi,,,Nigeria,Western Africa,Anthology,M,,,
ap.per.00181,Beverley Nambozo Nsengiynva,,Nsengiynva,,,Uganda,Eastern Africa,Anthology,F,,,
ap.per.00071,Obi Nwakanma,,Nwakanma,,,Nigeria,Western Africa,Anthology,M,,,
ap.per.00185,Freedom Nyamubaya,,Nyamubaya,,,Zimbabwe,Eastern Africa,Anthology,F,,,
ap.per.00194,Albert Nyathi,,Nyathi,,,Zimbabwe,Eastern Africa,Anthology,M,,,
ap.per.00298,Mxolisi Nyezwa,,Nyezwa,,,South Africa,Southern Africa,Anthology,,,,
ap.per.00085,Obiwu,*,Obiwu,,,Nigeria,Western Africa,Index,M,,,
ap.per.00084,Olu Oguibe,*,Oguibe,,,Nigeria,Western Africa,Index,M,,,
ap.per.00082,Tolu Ogunlesi,*,Ogunlesi,,,Nigeria,Western Africa,Index,M,,,
ap.per.00067,Tanure Ojaide,,Ojaide,,,Nigeria,Western Africa,Anthology,M,,,
