"airtableID","Unique ID","Primary Field","Title","Work type","Year","publisher","spatial.country","spatial.city","Page no","Issue","Volume","Source link","[commentaries]","person","Complete","news_items","name-major-poet","person-author","topics-decade","commentaries_relation","References","site section"
"rec2RvvncgzHU6g2X","apdp.work.000001","The Chosen Tongue: English writing in the tropical world (1970)","The Chosen Tongue: English writing in the tropical world","Single Author|Full Length","1970","[""Longmans""]","[""England""]","[""London""]","","",""," - ","['rec3epTjewMgomD0c']","""[Okigbo, Christopher](apdp.person.itn.001150)|Mentioned Poet;;;[Soyinka , Wole 'Akinwande Oluwole Babatunde'](apdp.person.itn.000930)|Mentioned Poet;;;[Achebe, Chinua 'Albert Chinualumogu'](apdp.person.itn.000265)|Mentioned Poet;;;[Clark, John Pepper 'J. P.'](apdp.person.itn.000828)|Mentioned Poet""","","","","","1970","[""[Western Patronization: An Examination of 20th Century Critique of African Writing—a look at 3 TLS Articles. “Voice of the Poets,” by Patrick Dickinson, “The Chosen Tongue: English Writing InThe Tropical World” by Norman Jeffares, and “Scorning the Sonnet” by M.M. Carlin](apdp.commentary.000004)""]","",""
"recop8XDMc2PeYiw2","apdp.work.000002","Country of My Skull (1998)","Country of My Skull","Single Author|Selected Works","1998","[""Random House""]","[""United States""]","[""New York""]","","",""," - ","","""[Krog, Antjie](apdp.person.itn.000980)|Poet;;;[Krog, Antjie](apdp.person.itn.000980)|Work Author""","","""[Witness to man's inhumanity (1999-01-24)](apdp.news.000159);;;[Hungry for More (2007-11-04)](apdp.news.000561);;;[Out of South Africa (2004-06-27)](apdp.news.000560)""","","[""Krog, Antjie""]","1990","","",""
"recbT644O14fELliY","apdp.work.000003","Friend of My Youth (1990)","Friend of My Youth","Anthology","1990","["" McClelland and Stewart""]","","","","","","","","""[Munro, Alice ' -Alice Ann Laidlaw ']()|""","True","""[Who's Reading Whom (1990-10-28)](apdp.news.000509)""","","","1990","","",""
"rec36CETcNYW7lkDk","apdp.work.000004"," Petrarch and His World (2002)"," Petrarch and His World","Single Author|Full Length","2002","[""Indiana University Press""]","[""United States""]","","","","","","","""[Bishop, Morris Gilbert]()|Author;;;[Bishop, Morris Gilbert]()|Work Author""","True","""[Who's Reading Whom (1990-10-28)](apdp.news.000509)""","","[""Bishop, Morris Gilbert""]","2000","","",""
"recOvGmoWYtrZPQaF","apdp.work.000005","Anthills of the Savannah  (1987)","Anthills of the Savannah ","Single Author|Full Length","1987","[""Heinemann""]","[""England""]","","p. 240","",""," - ","","","","""[What must a people do? (1987-09-20)](apdp.news.000310);;;[Best Sellers (1987-10-11)](apdp.news.000313);;;[Monday (1990-10-28)](apdp.news.000319);;;[The Booker shortlist all signed-up (1987-10-04)](apdp.news.000312);;;[Focus on the annual war of words (1987-09-27)](apdp.news.000311);;;[A plea for polyphony (1990-05-18)](apdp.news.000959);;;[Contents (2010-04-02)](apdp.news.000925);;;[NB: Out of darkness (2013-03-29)](apdp.news.000923)""","","","1980","","",""
"recU7ewY1mnktEeHW","apdp.work.000006","There Was A Country  (2013)","There Was A Country ","Single Author|Full Length","2013","[""Penguin Publishing Group""]","[""United States""]","","352","",""," - ","","","","""[War on His Doorstep (2012-09-30)](apdp.news.000352);;;[Pick of the Paperbacks (2013-06-30)](apdp.news.000354);;;[20.05.2013 Abuja, Nigeria (2013-05-24)](apdp.news.000940);;;[Great story (2013-02-08)](apdp.news.000918)""","","","2010","","",""
"recIAbPX3kiE86h1I","apdp.work.000007","Unbecoming Daughters of the Empire (1993)","Unbecoming Daughters of the Empire","Anthology","1993","[""Dangaroo""]","","","","",""," - ","","""[Chew, Shirley]()|Editor;;;[Rutherford, Anna]()|Editor""","","""[Voices of Empire (1993-04-09)](apdp.news.000293)""","","","1990","","",""
"rec1J8aEms1xE30Vn","apdp.work.000008","Fault Lines (1993)","Fault Lines","Single Author|Full Length","1993","[""The Feminist Press""]","","","","",""," - ","","""[Alexander, Meena]()|Author;;;[Alexander, Meena]()|Work Author""","","""[Voices of Empire (1993-04-09)](apdp.news.000293)""","","[""Alexander, Meena""]","1990","","",""
"recyHEioOirWBxQG9","apdp.work.000009","South African Poetry. A New Anthology, with a Foreword by Roy Campbell (1948)","South African Poetry. A New Anthology, with a Foreword by Roy Campbell","Anthology","1948","[""C. A. Roy for Collins""]","","","","",""," - ","","""[Campbell, Roy](apdp.person.itn.000514)|Poet;;;[Butler, Guy](apdp.person.itn.000167)|Poet;;;[Currey, Ralph Nixon 'R. N.'](apdp.person.itn.000253)|Poet;;;[Prince, Frank Templeton 'F. T.'](apdp.person.itn.001105)|Poet;;;[Madge, Charles Henry](apdp.person.itn.000235)|Poet;;;[Plomer, William](apdp.person.itn.000132)|Poet""","","""[Voices from South Africa (2049-07-01)](apdp.news.000047);;;[Roy Campbell (1957-04-28)](apdp.news.000380);;;[The Flaming Terrapin (1958-10-12)](apdp.news.000382)""","","","1940","","",""
"recnp8wwHA6JtJIqN","apdp.work.000010","Skipping Without Ropes (1998)","Skipping Without Ropes","Single Author|Full Length","1998","[""Bloodaxe Books Ltd""]","[""England""]","[""London""]","","","","","","""[Mapanje, Jack 'John Alfred Clement'](apdp.person.itn.000409)|Author;;;[Mapanje, Jack 'John Alfred Clement'](apdp.person.itn.000409)|Work Author""","True","""[Voices from around the world (1999-01-03)](apdp.news.000645)""","","[""Mapanje, Jack 'John Alfred Clement'""]","1990","","",""
"recmPC4wVKVhMEmux","apdp.work.000011","White Writing: On the culture of letters in South Africa (1988)","White Writing: On the culture of letters in South Africa","Single Author|Full Length","1988","[""Yale University Press""]","[""United States""]","[""New Haven""]","","",""," - ","","""[Coetzee, John Maxwell ' -J. M. '](apdp.person.itn.000744)|Poet;;;[Achebe, Chinua 'Albert Chinualumogu'](apdp.person.itn.000265)|Poet;;;[Okigbo, Christopher](apdp.person.itn.001150)|Poet""","","""[Uprooting the malignat fictions (1988-09-23)](apdp.news.000259);;;[Paperbacks (1990-10-07)](apdp.news.000508)""","","","1980","","",""
"recF6Pzv9tfiNz2wZ","apdp.work.000012","Hopes and Impediments: Selected Essays (1988)","Hopes and Impediments: Selected Essays","Single Author|Full Length","1988","[""Heinemann""]","[""England""]","[""London""]","","",""," - ","","""[Coetzee, John Maxwell ' -J. M. '](apdp.person.itn.000744)|Poet;;;[Achebe, Chinua 'Albert Chinualumogu'](apdp.person.itn.000265)|Poet;;;[Okigbo, Christopher](apdp.person.itn.001150)|Poet""","","""[Uprooting the malignat fictions (1988-09-23)](apdp.news.000259);;;[Index of Books Reviewed (1988-09-23)](apdp.news.000954)""","","","1980","","",""
"rectuFMfsvD4e3nlt","apdp.work.000013","Life and Times of Michael K (1983)","Life and Times of Michael K","Single Author|Full Length","1983","[""Secker & Warburg""]","[""England""]","","","","","","","""[Coetzee, John Maxwell ' -J. M. '](apdp.person.itn.000744)|;;;[Coetzee, John Maxwell ' -J. M. '](apdp.person.itn.000744)|Work Author""","True","""[Triumph of a one-man truth commission (2003-10-05)](apdp.news.000486);;;[Novels of the year wait for judgment (1983-09-25)](apdp.news.000490);;;[Taking in the view from the dark verandah (1983-09-25)](apdp.news.000492);;;[Bestsellers (1983-11-06)](apdp.news.000495);;;[Bestsellers (1983-11-13)](apdp.news.000496);;;[Student Drama Festival (1983-12-11)](apdp.news.000498);;;[Best Sellers (1983-12-18)](apdp.news.000499);;;[Bestsellers (1984-01-08)](apdp.news.000500);;;[Death of a nation (1990-09-16)](apdp.news.000507)""","","[""Coetzee, John Maxwell ' -J. M. '""]","1980","","",""
"reclJWZxgUIYGwHZZ","apdp.work.000014","Disgrace (1999)","Disgrace","Single Author|Full Length","1999","[""Secker & Warburg""]","[""England""]","","","","","","","""[Coetzee, John Maxwell ' -J. M. '](apdp.person.itn.000744)|;;;[Coetzee, John Maxwell ' -J. M. '](apdp.person.itn.000744)|Work Author""","True","""[Triumph of a one-man truth commission (2003-10-05)](apdp.news.000486)""","","[""Coetzee, John Maxwell ' -J. M. '""]","1990","","",""
"recqf5AgoWxY5fzil","apdp.work.000015","Youth (2002)","Youth","Single Author|Full Length","2002","[""Secker & Warburg""]","","","","","","","","""[Coetzee, John Maxwell ' -J. M. '](apdp.person.itn.000744)|;;;[Coetzee, John Maxwell ' -J. M. '](apdp.person.itn.000744)|Work Author""","True","""[Triumph of a one-man truth commission (2003-10-05)](apdp.news.000486)""","","[""Coetzee, John Maxwell ' -J. M. '""]","2000","","",""
"rech9xsbXffWuaqkb","apdp.work.000016","Boyhood: Scenes From Provincial Life  (1997)","Boyhood: Scenes From Provincial Life ","Single Author|Full Length","1997","[""Viking Press""]","","","","","","","","""[Coetzee, John Maxwell ' -J. M. '](apdp.person.itn.000744)|;;;[Coetzee, John Maxwell ' -J. M. '](apdp.person.itn.000744)|Work Author""","True","""[Triumph of a one-man truth commission (2003-10-05)](apdp.news.000486)""","","[""Coetzee, John Maxwell ' -J. M. '""]","1990","","",""
"rec2LKQGKue4Hp2xV","apdp.work.000017","Art, Dialogue and Outrage: Essays on Literature and Culture (1988)","Art, Dialogue and Outrage: Essays on Literature and Culture","Single Author|Full Length","1988","[""New Horn Press""]","[""Nigeria""]","[""Ibadan""]","","",""," - ","","""[Soyinka , Wole 'Akinwande Oluwole Babatunde'](apdp.person.itn.000930)|Poet;;;[Soyinka , Wole 'Akinwande Oluwole Babatunde'](apdp.person.itn.000930)|Work Author""","","""[Tracts for the times: Art, Dialogue and Outrage by Wole Soyinka (1988-12-10)](apdp.news.000122)""","","[""Soyinka , Wole 'Akinwande Oluwole Babatunde'""]","1980","","",""
"recPK1h5wYxuA3aSZ","apdp.work.000018","No Sweetness Here (1988)","No Sweetness Here","Single Author|Full Length","1988","[""Longmans""]","[""England""]","[""London""]","","",""," - ","","""[Aidoo, Ama Ata 'Christina'](apdp.person.itn.000708)|Author;;;[Aidoo, Ama Ata 'Christina'](apdp.person.itn.000708)|Work Author""","","""[TLS LISTINGS (1988-03-25)](apdp.news.000276)""","","[""Aidoo, Ama Ata 'Christina'""]","1980","","",""
"recRn0pnhUa1VTlmf","apdp.work.000019","The Dilemma of a Ghost; Anoma (1987)","The Dilemma of a Ghost; Anoma","Single Author|Full Length","1987","[""Longmans""]","[""England""]","[""London""]","","",""," - ","['recd3kSqMK5HlQj6K', 'recJe4EMmWcWiWYpV']","""[Aidoo, Ama Ata 'Christina'](apdp.person.itn.000708)|Author;;;[Aidoo, Ama Ata 'Christina'](apdp.person.itn.000708)|Work Author""","","""[TLS Listings (1987-04-03)](apdp.news.000275)""","","[""Aidoo, Ama Ata 'Christina'""]","1980","[""[Ama Ata Aidoo in The Times between 1967 and 1997 ](apdp.commentary.000008)"", ""[A Commentary on the Representation of Ama Ata Aidoo’s Poetic Career within The Sunday Times, The Times Literary Supplement, and Financial Times](apdp.commentary.000009)""]","",""
"recZxBfQg1MhMEMuL","apdp.work.000020","The Emergence of African Fiction (1972)","The Emergence of African Fiction","Single Author|Full Length","1972","[""Indiana University Press""]","[""United States""]","[""Bloomington""]","","",""," - ","","""[Soyinka , Wole 'Akinwande Oluwole Babatunde'](apdp.person.itn.000930)|Mentioned Poet;;;[Okara, Gabriel](apdp.person.itn.000399)|Mentioned Poet;;;[Awoonor-Williams, George Kofi Nyidevu 'Kofi Awoonor'](apdp.person.itn.001046)|Mentioned Poet;;;[Achebe, Chinua 'Albert Chinualumogu'](apdp.person.itn.000265)|Mentioned Poet;;;[Okigbo, Christopher](apdp.person.itn.001150)|Mentioned Poet""","","""[Through the Drum (1972-12-29)](apdp.news.000224)""","","","1970","","",""
"recFmlncunUmXhXHm","apdp.work.000021","Soho Square V (1992)","Soho Square V","Anthology","1992","[""Bloomsbury""]","","","","",""," - ","","""[Ogude, James]()|Editor;;;[Kromberg, Steve]()|Editor""","","""[Ain't I a woman (1992-12-11)](apdp.news.000267)""","","","1990","","",""
"rec83xxA55U6zITrm","apdp.work.000022","Adamastor (1930)","Adamastor","Single Author|Selected Works","1930","[""Faber & Faber Ltd.""]","[""England""]","[""London""]","","",""," - ","","""[Campbell, Roy](apdp.person.itn.000514)|Poet;;;[Campbell, Roy](apdp.person.itn.000514)|Work Author""","","""[The World of Books (1930-04-20)](apdp.news.000042);;;[Multiple Display Advertising Items (2030-04-20)](apdp.news.000372);;;[Faber & Faber  (2030-05-18)](apdp.news.000374)""","","[""Campbell, Roy""]","1930","","",""
"recqJOMkCkdpBPlTz","apdp.work.000023","The Wayzgoose. (1928)","The Wayzgoose.","Single Author|Full Length","1928","[""Jonathan Cape""]","[""England""]","[""London""]","","",""," - ","","""[Campbell, Roy](apdp.person.itn.000514)|Poet;;;[Campbell, Roy](apdp.person.itn.000514)|Work Author""","","""[The World of Books (1930-04-20)](apdp.news.000042)""","","[""Campbell, Roy""]","1920","","",""
"recyTuOAXKKT6IPNY","apdp.work.000024","Thomas Love Peacock (1973)","Thomas Love Peacock","Single Author|Full Length","1973","[""Allen and Unwin""]","","","","","","","","""[Felton, Felix 'Robert Forbes Felton ']()|Author;;;[Felton, Felix 'Robert Forbes Felton ']()|Work Author""","True","""[The romantic sceptic (1973-03-18)](apdp.news.000423)""","","[""Felton, Felix 'Robert Forbes Felton '""]","1970","","",""
"recM8BkUrDWQbn9uS","apdp.work.000025","African Literature Today (1968)","African Literature Today","Single Author|Full Length","1968","[""Heinemann Educational""]","[""England""]","[""London""]","","",""," - ","","""[Jones, Eldred Durosimi]()|Editor;;;[Jones, Eldred Durosimi]()|Work Author""","","""[The Primacy of the Performer (1976-09-17)](apdp.news.000295)""","","[""Jones, Eldred Durosimi""]","1960","","",""
"recaRNSGZ2LFS0Fgj","apdp.work.000026","The Drama of Black Africa (1974)","The Drama of Black Africa","Single Author|Full Length","1974","[""Samuel French""]","","","","",""," - ","","""[Graham-White, Anthony]()|Editor;;;[Graham-White, Anthony]()|Work Author""","","""[The Primacy of the Performer (1976-09-17)](apdp.news.000295)""","","[""Graham-White, Anthony""]","1970","","",""
"recKcjEpO2Wk29GL2","apdp.work.000027","African Theatre Today (1976)","African Theatre Today","Single Author|Full Length","1976","[""Pitman""]","","","","",""," - ","","""[Banham, Martin]()|Editor;;;[Banham, Martin]()|Work Author""","","""[The Primacy of the Performer (1976-09-17)](apdp.news.000295)""","","[""Banham, Martin""]","1970","","",""
"reckhz1alK8NUrVMi","apdp.work.000028","The Poems of St. John the Cross. Spanish Text with a Translation by Roy Campbell. Preface by M.C. D'Arcy, S.J. (1959)","The Poems of St. John the Cross. Spanish Text with a Translation by Roy Campbell. Preface by M.C. D'Arcy, S.J.","Single Author|Full Length","1959","[""The Harvill Press Ltd""]","","","","","","","","","True","""[The Path of a Mystic (1951-06-10)](apdp.news.000406)""","","","1950","","",""
"recgKLGhUPfnLvSyI","apdp.work.000029","A Man of the People (1966)","A Man of the People","Single Author|Full Length","1966","[""Heinemann""]","[""United States""]","[""Portsmouth""]","","",""," - ","","""[Achebe, Chinua 'Albert Chinualumogu'](apdp.person.itn.000265)|Poet;;;[Okigbo, Christopher](apdp.person.itn.001150)|Poet""","","""[The Literature of the Civil War (1972-03-03)](apdp.news.000241);;;[Reading round the World (1973-12-30)](apdp.news.000306);;;[A plea for polyphony (1990-05-18)](apdp.news.000959);;;[Contents (2010-04-02)](apdp.news.000925);;;[NB: Out of darkness (2013-03-29)](apdp.news.000923)""","","","1960","","",""
"recYGtNtkQWhIZlbx","apdp.work.000030","Footnote To The Nineties (1968)","Footnote To The Nineties","Single Author|Full Length","1968","[""Cecil and Amelia Woolf""]","[""England""]","[""London""]","","","","","","""[Sewell , Brocard 'Michael Seymour Gerveys Sewell']()|Author""","True","""[The hare and the panthers (1969-06-08)](apdp.news.000419)""","","","1960","","",""
"recJku5DxTCBMUUfV","apdp.work.000031","Print Of A Hare's Foot (1967)","Print Of A Hare's Foot","Single Author|Full Length","1967","[""Heinemann Educational""]","","","","","","","","""[Davies, Vivian Rees 'Rhys Davies']()|Author;;;[Davies, Vivian Rees 'Rhys Davies']()|Work Author""","True","""[The hare and the panthers (1969-06-08)](apdp.news.000419)""","","[""Davies, Vivian Rees 'Rhys Davies'""]","1960","","",""
"rec2yehR3z4mSksqL","apdp.work.000032","The Memoirs of an Erotic Bookseller Vol. 1 (1969)","The Memoirs of an Erotic Bookseller Vol. 1","Single Author|Full Length","1969","[""Grove Press""]","","","","","","","","""[Coppens, Armand]()|Author;;;[Coppens, Armand]()|Work Author""","True","""[The hare and the panthers (1969-06-08)](apdp.news.000419)""","","[""Coppens, Armand""]","1960","","",""
"recYJHhpK5uouS13C","apdp.work.000033","The Writer and Commitment (1961)","The Writer and Commitment","Single Author|Full Length","1961","[""Secker & Warburg""]","[""England""]","","","","","","","""[Mander, John 'John (Geoffrey Grylls) Mander']()|Author;;;[Mander, John 'John (Geoffrey Grylls) Mander']()|Work Author""","True","""[The Flaws in Commitment (1961-06-11)](apdp.news.000411)""","","[""Mander, John 'John (Geoffrey Grylls) Mander'""]","1960","","",""
"recrFMkL8zh6Vn5zq","apdp.work.000034","The Heinemann Book of African Poetry in English (1990)","The Heinemann Book of African Poetry in English","Anthology","1990","[""Heinemann""]","[""United States""]","[""Portsmouth""]","","",""," - ","","""[Awoonor-Williams, George Kofi Nyidevu 'Kofi Awoonor'](apdp.person.itn.001046)|Poet;;;[Soyinka , Wole 'Akinwande Oluwole Babatunde'](apdp.person.itn.000930)|Poet;;;[Laing, Kojo 'Bernard'](apdp.person.itn.000803)|Poet;;;[Mapanje, Jack 'John Alfred Clement'](apdp.person.itn.000409)|Poet;;;[Chipasula, Frank Mkalawile](apdp.person.itn.000117)|Poet;;;[P'Bitek, Okot](apdp.person.itn.001284)|Poet;;;[Kunene, Mazisi 'Raymond'](apdp.person.itn.000699)|Poet;;;[Ofeimun, Odia](apdp.person.itn.000308)|Poet;;;[Okigbo, Christopher](apdp.person.itn.001150)|Poet""","","""[A South African Poet (2002-06-20)](apdp.news.000049)""","","","1990","","",""
"rectIFXYAd83T312s","apdp.work.000035","An African Elegy (1997)","An African Elegy","Single Author|Full Length","1997","[""Vintage UK""]","","","84","","","","","","True","""[The edge of decadence (1992-06-07)](apdp.news.000763)""","","","1990","","",""
"rec7FGj6QhliH6dzm","apdp.work.000036","The Modern Poets: A Critical Introduction (1960)","The Modern Poets: A Critical Introduction","Single Author|Selected Works","1960","[""Oxford University Press""]","","","","","","","","""[Rosenthal, Macha Louis 'M. L. Rosenthal']()|Editor""","True","""[The Dominance of the Dons (1961-08-06)](apdp.news.000412)""","","","1960","","",""
"recdez9YS6iiak0Iz","apdp.work.000037","Post-Victorian Poetry (1938)","Post-Victorian Poetry","Anthology","1938","[""J.M Dent & Sons Ltd""]","","","","","","","","""[Palmer, Herbert Edward 'Herbert Palmer']()|Author;;;[Palmer, Herbert Edward 'Herbert Palmer']()|Work Author""","True","""[The Criticism of a Poet (2038-08-28)](apdp.news.000401)""","","[""Palmer, Herbert Edward 'Herbert Palmer'""]","1930","","",""
"reccxaTdLdyFuSkBG","apdp.work.000038","Reliques of Ancient English Poetry:  Consisting of Old Heroic Ballads, Songs, and Other Pieces of our Earlier Poets (1765)","Reliques of Ancient English Poetry:  Consisting of Old Heroic Ballads, Songs, and Other Pieces of our Earlier Poets","Anthology","1765","[""Cambridge University Press""]","[""England""]","[""London""]","","",""," - ","","","","""[The Bishop's move (1997-06-27)](apdp.news.000030)""","","","1760","","",""
"recmYGcoQBpKjNR8M","apdp.work.000039","African Art & Literature: The Invisible Present (1977)","African Art & Literature: The Invisible Present","Single Author|Full Length","1977","[""Heinemann Educational""]","[""England""]","","","","","","","""[Duerden, Dennis]()|Author;;;[Duerden, Dennis]()|Work Author""","True","""[The authentically African (1977-08-05)](apdp.news.000436)""","","[""Duerden, Dennis""]","1970","","",""
"recVFxkIRGlB89h8r","apdp.work.000040","Myth, Literature and the African World (1976)","Myth, Literature and the African World","Single Author|Full Length","1976","[""Cambridge University Press""]","[""United States""]","[""New York""]","","",""," - ","","","True","""[The authentically African (1977-08-05)](apdp.news.000436)""","","","1970","","",""
"recz8znwq0wuxCtOz","apdp.work.000041","The Ariel Poems (Pamphlets) ()","The Ariel Poems (Pamphlets)","Single Author|Collected Works","","[""Faber & Faber Ltd.""]","","","","","","","","","","""[The Ariel Poems (2030-10-26)](apdp.news.000386)""","","","","","",""
"rec4CKJJRC3IRA7Av","apdp.work.000042","Telephone Conversation (1962)","Telephone Conversation","Poem","1962","[""Penguin Publishing Group""]","[""United Kingdom""]","","","",""," - ","","""[Soyinka , Wole 'Akinwande Oluwole Babatunde'](apdp.person.itn.000930)|Poet""","","""[Zulfikar Ghose (1962-08-10)](apdp.news.000230)""","","","1960","","",""
"rec3zod8gJYZY3kZb","apdp.work.000043","A Hot Country (1983)","A Hot Country","Single Author|Full Length","1983","[""Hamish Hamilton Limited ""]","[""England""]","[""London""]","","","","","","""[Naipaul , Shivadhar Srinivasa  'Shiva Naipaul']()|Author;;;[Naipaul , Shivadhar Srinivasa  'Shiva Naipaul']()|Work Author""","True","""[Taking in the view from the dark verandah (1983-09-25)](apdp.news.000492)""","","[""Naipaul , Shivadhar Srinivasa  'Shiva Naipaul'""]","1980","","",""
"recK0MHLPqaAjR7jb","apdp.work.000044","Shared Lives (1992)","Shared Lives","Single Author|Full Length","1992","[""Bloomsbury""]","[""England""]","","","","","","","""[Gordon, Lyndall]()|Author;;;[Gordon, Lyndall]()|Work Author""","True","""[Take three girls (1992-05-03)](apdp.news.000512)""","","[""Gordon, Lyndall""]","1990","","",""
"recGt2BMWFqcbBBvo","apdp.work.000045","Dylan Thomas: Poet Of His People (1975)","Dylan Thomas: Poet Of His People","Single Author|Full Length","1975","[""Michael Joseph""]","","","","","","","","""[Sinclair, Andrew 'Andrew Annandale Sinclair']()|Author;;;[Sinclair, Andrew 'Andrew Annandale Sinclair']()|Work Author""","True","""[Swansea singer (1976-01-04)](apdp.news.000429)""","","[""Sinclair, Andrew 'Andrew Annandale Sinclair'""]","1970","","",""
"recLD55v4Ji1kozhj","apdp.work.000046","An Embarrassment of Tyrannies  (1997)","An Embarrassment of Tyrannies ","","1997","[""Gollancz""]","","","","","","","","","True","""[Strong world from freedom fighters (1997-10-19)](apdp.news.000811)""","","","1990","","",""
"reccp1DAMagaGt5sr","apdp.work.000047","Dark Folk and Other Poems (1935)","Dark Folk and Other Poems","Single Author|Selected Works","1935","[""William Blackwood and Sons""]","[""Scotland""]","[""Edinburgh""]","","",""," - ","","""[Slater, Francis Carey 'F. C.'](apdp.person.itn.001128)|Poet;;;[Slater, Francis Carey 'F. C.'](apdp.person.itn.001128)|Work Author""","","""[Spring Announcements (1935-02-28)](apdp.news.000068)""","","[""Slater, Francis Carey 'F. C.'""]","1930","","",""
"recCw32Yg12iLr3fc","apdp.work.000048","Selected Poems of Francis Carey Slater (1947)","Selected Poems of Francis Carey Slater","Single Author|Selected Works","1947","[""Oxford University Press""]","[""England""]","[""Oxford""]","","",""," - ","","""[Slater, Francis Carey 'F. C.'](apdp.person.itn.001128)|Poet;;;[Slater, Francis Carey 'F. C.'](apdp.person.itn.001128)|Work Author""","","""[South African Poet (2047-10-19)](apdp.news.000045)""","","[""Slater, Francis Carey 'F. C.'""]","1940","","",""
"recBjH1jL67u14XPk","apdp.work.000049","The Collected Poems of Francis Carey Slater (1957)","The Collected Poems of Francis Carey Slater","Single Author|Collected Works","1957","[""William Blackwood and Sons""]","[""Scotland""]","[""Edinburgh""]","","",""," - ","","""[Slater, Francis Carey 'F. C.'](apdp.person.itn.001128)|Poet;;;[Slater, Francis Carey 'F. C.'](apdp.person.itn.001128)|Work Author""","","""[South African Bard (1957-06-28)](apdp.news.000043)""","","[""Slater, Francis Carey 'F. C.'""]","1950","","",""
"recdRMO3PmftHvFYu","apdp.work.000050","As I Walked Out One Midsummer Morning (1979)","As I Walked Out One Midsummer Morning","Single Author|Full Length","1979","[""Penguin Publishing Group""]","","","","","","","","""[Lee, Laurence Edward Alan 'Laurie Lee']()|Poet;;;[Lee, Laurence Edward Alan 'Laurie Lee']()|Work Author;;;[Deutsch, André]()|Author;;;[Deutsch, André]()|Work Author""","True","""[Songs of the earth (1969-09-28)](apdp.news.000420)""","","[""Lee, Laurence Edward Alan 'Laurie Lee'"", ""Deutsch, André""]","1970","","",""
"recCvoN3FopsXy9Na","apdp.work.000051","The Vanished World: An Autobiography, Volume One (1969)","The Vanished World: An Autobiography, Volume One","Single Author|Full Length","1969","[""University of Missouri Press""]","[""England""]","","","","","","","""[Bates, Herbert Ernest ' H. E. Bates']()|Poet;;;[Bates, Herbert Ernest ' H. E. Bates']()|Work Author""","True","""[Songs of the earth (1969-09-28)](apdp.news.000420)""","","[""Bates, Herbert Ernest ' H. E. Bates'""]","1960","","",""
"recfjn58aFu9EW8O2","apdp.work.000052","The Horn of my Love (1974)","The Horn of my Love","Single Author|Full Length","1974","[""Heinemann Educational""]","[""England""]","[""London""]","","",""," - ","","""[P'Bitek, Okot](apdp.person.itn.001284)|Poet;;;[P'Bitek, Okot](apdp.person.itn.001284)|Work Author""","","""[Songs from the grasslands (1975-02-21)](apdp.news.000051)""","","[""P'Bitek, Okot""]","1970","","",""
"recthlWRfI9OEUYkx","apdp.work.000053","This Other Planet: Three Poems on Exile (1945)","This Other Planet: Three Poems on Exile","Single Author|Selected Works","1945","[""Routledge Kegan & Paul""]","[""England""]","[""London""]","","",""," - ","","""[Currey, Ralph Nixon 'R. N.'](apdp.person.itn.000253)|Poet;;;[Currey, Ralph Nixon 'R. N.'](apdp.person.itn.000253)|Work Author""","","""[Soldier-Poets and Others (2045-06-24)](apdp.news.000527)""","","[""Currey, Ralph Nixon 'R. N.'""]","1940","","",""
"recZxtgPaFb68UaKD","apdp.work.000054","African Writing Today (1967)","African Writing Today","Anthology","1967","","","","","",""," - ","","""[Mphahlele, Ezekiel 'Es'kia']()|Editor""","True","""[Second Crop (1967-03-23)](apdp.news.000291);;;[After indignation, what? (1967-01-29)](apdp.news.000690)""","","","1960","","",""
"reccIKH41ee2m5fZ9","apdp.work.000055","Understanding African Poetry: A study of Ten Poets (1982)","Understanding African Poetry: A study of Ten Poets","Anthology","1982","[""Heinemann""]","[""United States""]","[""Portsmouth""]","","",""," - ","","""[Brutus, Dennis Vincent](apdp.person.itn.000779)|Poet;;;[Okigbo, Christopher](apdp.person.itn.001150)|Poet;;;[Peters, Lenrie](apdp.person.itn.000030)|Poet;;;[Clark, John Pepper 'J. P.'](apdp.person.itn.000828)|Poet;;;[Liyong, Taban Lo](apdp.person.itn.001247)|Poet;;;[Awoonor-Williams, George Kofi Nyidevu 'Kofi Awoonor'](apdp.person.itn.001046)|Poet;;;[Soyinka , Wole 'Akinwande Oluwole Babatunde'](apdp.person.itn.000930)|Poet;;;[Soyinka , Wole 'Akinwande Oluwole Babatunde'](apdp.person.itn.000930)|Work Author;;;[Okara, Gabriel](apdp.person.itn.000399)|Poet;;;[P'Bitek, Okot](apdp.person.itn.001284)|Poet;;;[Kunene, Mazisi 'Raymond'](apdp.person.itn.000699)|Poet""","","""[Scorning the sonnet (1983-09-16)](apdp.news.000013);;;[Scorning the sonnet (1983-09-16)](apdp.news.001133)""","","[""Soyinka , Wole 'Akinwande Oluwole Babatunde'""]","1980","","",""
"recg6HnUt3fwILZ7j","apdp.work.000056","Literary lifelines, the Richard Aldington-Lawrence Durrell Correspondence (1981)","Literary lifelines, the Richard Aldington-Lawrence Durrell Correspondence","Single Author|Full Length","1981","[""Viking Press""]","","","","","","","","""[MacNiven, Ian S.]()|Editor;;;[MacNiven, Ian S.]()|Work Author;;;[Moore, Harry T. 'Harry Thornton']()|Editor;;;[Moore, Harry T. 'Harry Thornton']()|Work Author""","True","""[Richard Aldington's septic psyche (1981-07-12)](apdp.news.000435)""","","[""MacNiven, Ian S."", ""Moore, Harry T. 'Harry Thornton'""]","1980","","",""
